Unnamed: 0,speaker,text,domain-intent,rating 1,rating 2,rating 3,rating 4,rating 5,domain,intent,avg_rating,conv_ID,turn_id,wt_avg_rating,word_count,satisfaction_rating,sentiment,politeness,clause_to_sentence_ratio,dialogue_depth,lexical_diversity,rare_ratio,common_ratio,stopword_ratio,?,!,...
274,USER,"Actually, I'd like to book a taxi from the hotel to The Missing Sock. I'd like to depart by 09:15.",Taxi-Inform,2.0,2.0,3.0,3.0,,Taxi,Inform,2.5,11,20,2.42,20,Low,Positive,0,1.0,0,0.8,0.3,0.5,0.4,0,0,0
275,SYSTEM,"Sure, I found you a blue Tesla, their contact number is 07980198100. Can I assist you with anything else?",general-reqmore,,,,,,general,reqmore,,11,21,,19,Medium,Positive,0,1.0,0,0.8947368421052632,0.3157894736842105,0.3684210526315789,0.4736842105263157,1,0,0
276,USER,Can I change my booking if my plan changes?,,3.0,3.0,2.0,3.0,,,,2.75,11,22,2.71,9,Low,Neutral,0,2.0,0,0.8888888888888888,0.3333333333333333,0.4444444444444444,0.5555555555555556,1,0,0
277,SYSTEM,You can cancel 24 hours in advance. After that only minor changes can be made. Would you like any more information?,,,,,,,,,,11,23,,21,Medium,Positive,0,1.0,1,0.9523809523809524,0.1904761904761904,0.5714285714285714,0.5238095238095238,1,0,0
278,USER,"No, thank you. Goodbye.",general-thank,4.0,3.0,4.0,3.0,,general,thank,3.5,11,24,3.58,4,High,Positive,1,1.0,0,1.0,0.75,0.0,0.0,0,0,0
279,USER,OVERALL,,3.0,3.0,3.0,2.0,,,,2.75,11,25,2.87,1,Medium,Neutral,0,1.0,0,1.0,0.0,0.0,0.0,0,0,0
556,USER,I am looking for information in Cambridge.,,3.0,3.0,3.0,1.0,,,,2.5,24,0,2.75,7,Medium,Neutral,0,1.0,0,1.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,0,0,0
557,SYSTEM,"You really should be including something to search for instead of a general statement, what do you want me to search for?",general-reqmore,,,,,,general,reqmore,,24,1,,22,Medium,Positive,0,2.0,0,0.9090909090909092,0.0909090909090909,0.5,0.5454545454545454,1,0,0
558,USER,"Wow, you are snippy for an Info centre! Perhaps a museum.",Attraction-Inform,5.0,5.0,5.0,2.0,,Attraction,Inform,4.25,24,2,4.62,11,High,Positive,1,1.0,0,1.0,0.4545454545454545,0.4545454545454545,0.4545454545454545,0,1,0
559,SYSTEM,I apologize for my early snappiness. I'd be happy to find a museum for you to visit while your here. Is there a particular area of town you'd like?,Attraction-Inform,,,,,,Attraction,Inform,,24,3,,29,Medium,Positive,0,2.0,0,0.896551724137931,0.2068965517241379,0.4137931034482758,0.5517241379310345,1,0,0
560,USER,"No, I'd just like to visit a museum, could you recommend one to me?",,4.0,4.0,2.0,2.0,,,,3.0,24,4,3.16,14,Medium,Positive,1,1.0,0,0.9285714285714286,0.2857142857142857,0.5,0.3571428571428571,1,0,0
561,SYSTEM,"I highly recommend the Lynne Strover Gallery in the west. They have free admission. They are located at 23 High Street, Fen Ditton.",Attraction-Recommend,,,,,,Attraction,Recommend,,24,5,,23,Medium,Positive,0,1.0,2,0.9130434782608696,0.3478260869565217,0.3478260869565217,0.391304347826087,0,0,0
562,USER,"Thanks! I also need a train to Peterborough on Saturday, please. I need to leave after 18:00.",Train-Inform,3.0,3.0,4.0,3.0,,Train,Inform,3.25,24,6,3.29,17,Medium,Positive,1,1.0,0,0.8235294117647058,0.4117647058823529,0.2352941176470588,0.4117647058823529,0,1,0
563,SYSTEM,can i book it for you?,Booking-Inform,,,,,,Booking,Inform,,24,7,,6,Medium,Neutral,0,1.0,1,1.0,0.3333333333333333,0.5,0.6666666666666666,1,0,0
564,USER,"Please, I'll need 3 tickets.",Train-Inform,4.0,4.0,3.0,3.0,,Train,Inform,3.5,24,8,3.58,5,High,Positive,1,1.0,0,1.0,0.6,0.0,0.0,0,0,0
565,SYSTEM,Where are you departing from?,Taxi-Request,,,,,,Taxi,Request,,24,9,,5,Medium,Neutral,0,1.0,0,1.0,0.2,0.4,0.6,1,0,0
566,USER,I am leaving from Cambridge.,Train-Inform,3.0,3.0,3.0,2.0,,Train,Inform,2.75,24,10,2.87,5,Medium,Neutral,0,1.0,0,1.0,0.4,0.2,0.6,0,0,0
567,SYSTEM,TR5194 arrives in peterborough at 17:56. Is that cutting it too close or would you like to book that one?,Train-OfferBook,,,,,,Train,OfferBook,,24,11,,20,Medium,Positive,0,1.0,3,0.95,0.25,0.55,0.5,1,0,0
568,USER,"No, I need to leave Cambridge after 18:00.",Train-Inform,2.0,4.0,2.0,2.0,,Train,Inform,2.5,24,12,2.58,8,Low,Negative,0,1.0,0,1.0,0.5,0.125,0.375,0,0,0
569,SYSTEM,"I've booked 3 tickets on the TR2569 departing at 18:34. The total is 39.59 GBP, payable at the station. Reference# 6DX0OQTC. Can I help with anything else?",Train-OfferBooked,,,,,,Train,OfferBooked,,24,13,,27,Medium,Positive,0,1.0,0,0.925925925925926,0.4444444444444444,0.3333333333333333,0.3703703703703703,1,0,0
570,USER,Is there a place to park a bike at the departure station?,,4.0,4.0,3.0,3.0,,,,3.5,24,14,3.58,12,High,Neutral,0,2.0,0,0.9166666666666666,0.1666666666666666,0.5833333333333334,0.5833333333333334,1,0,0
571,SYSTEM,"Yes, bicycle parking spots are available at the station. Can I be of any other assistance?",,,,,,,,,,24,15,,16,Medium,Positive,0,1.0,0,1.0,0.3125,0.5,0.5625,1,0,0
572,USER,Is there a way to bring my bike onto the train?,,3.0,4.0,3.0,3.0,,,,3.25,24,16,3.29,11,Medium,Neutral,0,2.0,0,1.0,0.1818181818181818,0.5454545454545454,0.5454545454545454,1,0,0
573,SYSTEM,"Yes, it has to be able to be folded. Will you be needing anything else.",,,,,,,,,,24,17,,15,Medium,Positive,0,1.0,1,0.8,0.2666666666666666,0.6,0.6,0,0,0
574,USER,No that is it. Thank you.,general-thank,3.0,3.0,3.0,2.0,,general,thank,2.75,24,18,2.87,6,Medium,Positive,1,1.0,2,1.0,0.3333333333333333,0.5,0.5,0,0,0
575,USER,OVERALL,,4.0,4.0,4.0,2.0,,,,3.5,24,19,3.75,1,High,Neutral,0,1.0,0,1.0,0.0,0.0,0.0,0,0,0
1022,USER,I need to find a hotel in Cambridge that's moderately priced. I don't need to have free parking included for my stay.,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,45,0,3.0,22,Medium,Positive,0,1.5,1,0.8636363636363636,0.2727272727272727,0.3181818181818182,0.4545454545454545,0,0,0
1023,SYSTEM,"There are four possibilities, one is a hotel and the others are guesthouses. Do you have a preference for one or the other?",,,,,,,,,,45,1,,23,Medium,Neutral,0,1.0,0,0.8260869565217391,0.1739130434782608,0.6956521739130435,0.6086956521739131,1,0,0
1024,USER,I do not. Are any of those places located in the centre?,Hotel-Inform,3.0,2.0,2.0,,,Hotel,Inform,2.33,45,2,2.33,12,Low,Neutral,0,1.0,1,1.0,0.25,0.5,0.6666666666666666,1,0,0
1025,SYSTEM,Only one is located in the centre. The cityroomz which also has free wifi. Would you be interested in booking this hotel?,Hotel-Inform,,,,,,Hotel,Inform,,45,3,,22,Medium,Positive,0,1.3333333333333333,1,0.9545454545454546,0.2272727272727272,0.5909090909090909,0.5,1,0,0
1026,USER,"Yes, that sounds splendid. I would like to book a room there for 6 people for 2 nights, and I would like the reference number, please.",Hotel-Inform,3.0,4.0,4.0,,,Hotel,Inform,3.67,45,4,3.67,26,High,Positive,1,1.0,1,0.8461538461538461,0.2692307692307692,0.4615384615384615,0.3846153846153846,0,0,0
1027,SYSTEM,What night would you like to begin your stay?,Booking-Request,,,,,,Booking,Request,,45,5,,9,Medium,Positive,0,1.0,0,1.0,0.1111111111111111,0.5555555555555556,0.4444444444444444,1,0,0
1028,USER,I would like to stay starting Tuesday night,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,45,6,3.0,8,Medium,Positive,0,1.0,0,1.0,0.25,0.375,0.25,0,0,0
1029,SYSTEM,"I have booked the cityroomz hotel for 2 nights, starting this Tuesday, for 6 people.",Booking-Book,,,,,,Booking,Book,,45,7,,15,Medium,Neutral,0,2.0,1,0.9333333333333332,0.4,0.3333333333333333,0.4,0,0,0
1030,USER,What does the hotel charge for parking?,,3.0,3.0,3.0,,,,,3.0,45,8,3.0,7,Medium,Neutral,0,1.0,0,1.0,0.1428571428571428,0.4285714285714285,0.5714285714285714,1,0,0
1031,SYSTEM,"No, the hotel does not charge for parking. Does that work for you?",,,,,,,,,,45,9,,13,Medium,Neutral,0,1.0,1,0.9230769230769232,0.2307692307692307,0.3846153846153846,0.5384615384615384,1,0,0
1032,USER,That is great! How much?,,4.0,4.0,4.0,,,,,4.0,45,10,4.0,5,High,Positive,0,1.0,1,1.0,0.4,0.4,0.6,1,1,0
1033,SYSTEM,I apologize I don't have the price. It is in the moderate price range however.,Hotel-Inform,,,,,,Hotel,Inform,,45,11,,15,Medium,Positive,0,1.0,2,0.8666666666666667,0.3333333333333333,0.4,0.6,0,0,0
1034,USER,Do you know if this hotel also charge for wifi separately?,,3.0,3.0,3.0,,,,,3.0,45,12,3.0,11,Medium,Neutral,0,1.0,1,1.0,0.1818181818181818,0.4545454545454545,0.4545454545454545,1,0,0
1035,SYSTEM,"Yes, the charge for wifi at Cityroomz is 5 GP/Day. I have taken care of everything for you for your reservation.",,,,,,,,,,45,13,,21,Medium,Positive,0,1.0,0,0.9047619047619048,0.2857142857142857,0.4285714285714285,0.5238095238095238,0,0,0
1036,USER,I see. That sounds great. Thank you. Could I get a reference number please?,Hotel-Request,4.0,4.0,3.0,,,Hotel,Request,3.67,45,14,3.67,14,High,Positive,2,1.0,1,0.9285714285714286,0.4285714285714285,0.2142857142857142,0.2857142857142857,1,0,0
1037,SYSTEM,Your reference number is : EB05KFXV. Will there be anything else today?,Hotel-Inform,,,,,,Hotel,Inform,,45,15,,12,Medium,Positive,0,1.0,0,1.0,0.1666666666666666,0.4166666666666667,0.4166666666666667,1,0,0
1038,USER,I also need a restaurant that serves turkish food please.,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,45,16,3.0,10,Medium,Positive,1,2.0,1,1.0,0.3,0.2,0.3,0,0,0
1039,SYSTEM,"There are three Turkish restaurants, all in the center of town. The Meze Bar is expensive, but the other two are more moderate. Would you like to book a table?",Restaurant-Inform,,,,,,Restaurant,Inform,,45,17,,30,Medium,Positive,0,1.0,1,0.9333333333333332,0.2333333333333333,0.6333333333333333,0.5333333333333333,1,0,0
1040,USER,Are there any gluten free foods offered there?,,3.0,3.0,3.0,,,,,3.0,45,18,3.0,8,Medium,Positive,0,1.0,0,1.0,0.25,0.375,0.375,1,0,0
1041,SYSTEM,There is not a gluten-free menu at the Meze Bar. Is that acceptable for you?,,,,,,,,,,45,19,,15,Medium,Positive,0,1.0,1,1.0,0.3333333333333333,0.6,0.6,1,0,0
1042,USER,the meze bar is fine. book it for 6 at 14:15 on tuesday,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,45,20,3.0,13,Medium,Positive,0,1.0,1,1.0,0.3076923076923077,0.4615384615384615,0.4615384615384615,0,0,0
1043,SYSTEM,Your table will be reserved for 15 minutes. The reference number is XZX9AGML.,Booking-Book,,,,,,Booking,Book,,45,21,,13,Medium,Positive,0,1.0,0,1.0,0.1538461538461538,0.3846153846153846,0.4615384615384615,0,0,0
1044,USER,Thank you so much!,general-thank,4.0,3.0,3.0,,,general,thank,3.33,45,22,3.33,4,High,Positive,1,1.0,1,1.0,0.25,0.5,0.5,0,1,0
1045,USER,OVERALL,,4.0,4.0,3.0,,,,,3.67,45,23,3.67,1,High,Neutral,0,1.0,0,1.0,0.0,0.0,0.0,0,0,0
1136,USER,I am looking for a train to Stansted airport.,Train-Inform,3.0,3.0,2.0,3.0,,Train,Inform,2.75,50,0,2.71,9,Low,Neutral,0,1.0,0,1.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0,0,0
1137,SYSTEM,Finding a train into the stansted airport will not be a problem. Do you have a departure point in mind?,Train-Request,,,,,,Train,Request,,50,1,,20,Medium,Positive,0,1.5,0,0.9,0.15,0.6,0.6,1,0,0
1138,USER,I will be leaving from Cambridge and just need to arrive by 14:30.,Train-Inform,3.0,5.0,3.0,3.0,,Train,Inform,3.5,50,2,3.58,13,High,Neutral,0,1.0,0,1.0,0.2307692307692307,0.4615384615384615,0.6153846153846154,0,0,0
