,index,Speaker,Text,Domain-Intent,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5,Domain,Intent,avg_rating,ConvID,turn_id,wt_avg_rating,satisfaction_rating,Intent Type,word_count
1570,1570,USER,Any live music?,,3.0,2.0,3.0,,,,,2.67,68,12,2.667,Low,,3
1573,1573,SYSTEM,They serve chinese food.,Restaurant-Inform,,,,,,Restaurant,Inform,,68,15,,Medium,Inform,4
1625,1625,SYSTEM,It is 17 minutes.,Train-Inform,,,,,,Train,Inform,,71,7,,Medium,Inform,4
1696,1696,USER,Indian sound good.,,3.0,3.0,3.0,3.0,,,,3.0,74,2,3.0,Medium,,3
1712,1712,USER,The restaurant please.,Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,74,18,3.0,Medium,Inform,3
1714,1714,USER,to the attraction,Attraction-Inform,3.0,3.0,3.0,4.0,,Attraction,Inform,3.25,74,20,3.126,Medium,Inform,3
1770,1770,USER,Yes please. Book that.,,3.0,3.0,3.0,3.0,,,,3.0,76,16,3.0,Medium,,4
1887,1887,SYSTEM,it's a guesthouse actually,Hotel-Inform,,,,,,Hotel,Inform,,80,33,,Medium,Inform,4
1888,1888,USER,That sounds perfect.,,3.0,5.0,5.0,,,,,4.33,80,34,4.333,High,,3
1937,1937,SYSTEM,How many people?,Booking-Request,,,,,,Booking,Request,,82,23,,Medium,Request,3
2034,2034,USER,No. What is available?,,3.0,3.0,3.0,,,,,3.0,86,12,3.0,Medium,,4
2186,2186,USER,I don't care.,,2.0,3.0,2.0,2.0,,,,2.25,93,4,2.291,Low,,3
2333,2333,SYSTEM,It takes 51minutes.,Train-Inform,,,,,,Train,Inform,,99,13,,Medium,Inform,3
2348,2348,USER,How about korean food?,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,100,2,3.0,Medium,Inform,4
2420,2420,USER,Okay what is it?,,3.0,4.0,3.0,,,,,3.33,103,6,3.333,High,,4
2456,2456,USER,"Sure, I guess so.",,3.0,3.0,3.0,,,,,3.0,105,2,3.0,Medium,,4
2514,2514,USER,Arrive by 11:30.,Train-Inform,3.0,3.0,2.0,3.0,,Train,Inform,2.75,107,4,2.709,Low,Inform,3
2627,2627,SYSTEM,sure its 01223364222,Taxi-Inform,,,,,,Taxi,Inform,,111,19,,Medium,Inform,3
2677,2677,SYSTEM,For what time please?,Booking-Request,,,,,,Booking,Request,,114,5,,Medium,Request,4
2688,2688,USER,Is outdoor seating available?,,3.0,3.0,3.0,,,,,3.0,114,16,3.0,Medium,,4
2698,2698,USER,Is that a gastropub?,Restaurant-Inform,3.0,4.0,3.0,3.0,,Restaurant,Inform,3.25,115,2,3.291,High,Inform,4
2826,2826,USER,Area does not matter.,,3.0,3.0,3.0,,,,,3.0,120,2,3.0,Medium,,4
2831,2831,SYSTEM,Okay. Let us know.,,,,,,,,,,120,7,,Medium,,4
2862,2862,USER,On Thursday please.,Restaurant-Inform,3.0,2.0,3.0,3.0,,Restaurant,Inform,2.75,122,2,2.709,Low,Inform,3
2876,2876,USER,How about 20:00 instead?,Restaurant-Inform,3.0,3.0,3.0,2.0,,Restaurant,Inform,2.75,122,16,2.874,Medium,Inform,4
2912,2912,USER,Is this a guesthouse?,,3.0,3.0,3.0,,,,,3.0,124,2,3.0,Medium,,4
2936,2936,USER,I prefer the north.,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,125,2,3.0,Medium,Inform,4
2957,2957,SYSTEM,sure it is 01223902091,Hotel-Inform,,,,,,Hotel,Inform,,125,23,,Medium,Inform,4
3018,3018,USER,Is that a guesthouse?,,3.0,3.0,5.0,3.0,,,,3.5,129,2,3.582,High,,4
3040,3040,USER,"Friday, 17:45.",Restaurant-Inform,3.0,3.0,5.0,3.0,,Restaurant,Inform,3.5,129,24,3.582,High,Inform,2
3061,3061,SYSTEM,The bedouin is expensive.,Restaurant-Inform,,,,,,Restaurant,Inform,,130,17,,Medium,Inform,4
3229,3229,SYSTEM,we have a variety,Attraction-Inform,,,,,,Attraction,Inform,,137,25,,Medium,Inform,4
3266,3266,USER,"Nope, that's it.",,3.0,3.0,3.0,,,,,3.0,138,28,3.0,Medium,,3
3320,3320,USER,"No, it doesn't matter.",Restaurant-Inform,3.0,3.0,2.0,,,Restaurant,Inform,2.67,141,16,2.667,Low,Inform,4
3410,3410,USER,How about 18:00?,Restaurant-Inform,3.0,3.0,2.0,,,Restaurant,Inform,2.67,145,10,2.667,Low,Inform,3
3433,3433,SYSTEM,It arrives at 06:43.,Train-Inform,,,,,,Train,Inform,,146,15,,Medium,Inform,4
3464,3464,USER,"You're welcome. You, too.",,4.0,3.0,3.0,,,,,3.33,147,20,3.333,High,,4
3482,3482,USER,Don't care.,Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,149,2,3.0,Medium,Inform,2
3507,3507,SYSTEM,How about clowns cafe?,Restaurant-Recommend,,,,,,Restaurant,Recommend,,150,9,,Medium,Recommend,4
3522,3522,USER,I don't care.,,3.0,3.0,2.0,3.0,,,,2.75,151,2,2.709,Low,,3
3596,3596,USER,I don't care.,,3.0,3.0,2.0,,,,,2.67,154,4,2.667,Low,,3
3766,3766,USER,no. give me recommendation.,,3.0,3.0,3.0,2.0,,,,2.75,162,4,2.874,Medium,,4
3771,3771,SYSTEM,It is moderately priced.,Hotel-Inform,,,,,,Hotel,Inform,,162,9,,Medium,Inform,4
3782,3782,USER,are kids allowed there?,,4.0,3.0,4.0,3.0,,,,3.5,162,20,3.582,High,,4
3785,3785,SYSTEM,you are welcome,general-welcome,,,,,,general,welcome,,162,23,,Medium,welcome,3
3800,3800,USER,Is there room service?,,3.0,3.0,3.0,,,,,3.0,163,12,3.0,Medium,,4
3822,3822,USER,Any type will do.,Attraction-Request,4.0,3.0,3.0,,,Attraction,Request,3.33,164,12,3.333,High,Request,4
3828,3828,USER,"No, that's all.",,3.0,3.0,4.0,,,,,3.33,164,18,3.333,High,,3
3898,3898,USER,"Yes, please.",,3.0,3.0,3.0,,,,,3.0,168,14,3.0,Medium,,2
3904,3904,USER,How about 18:00?,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,168,20,3.0,Medium,Inform,3
3918,3918,USER,"Yes, that sounds perfect.",,4.0,3.0,4.0,,,,,3.67,169,2,3.667,High,,4
3922,3922,USER,is there outdoor seating?,,3.0,4.0,3.0,,,,,3.33,169,6,3.333,High,,4
3926,3926,USER,Also on Thursday.,Train-Inform,3.0,4.0,3.0,,,Train,Inform,3.33,169,10,3.333,High,Inform,3
4004,4004,USER,Something expensive please.,,3.0,3.0,3.0,,,,,3.0,172,6,3.0,Medium,,3
4010,4010,USER,Do they serve alcohol?,,3.0,3.0,3.0,,,,,3.0,172,12,3.0,Medium,,4
4052,4052,USER,Is that place cheap?,,3.0,3.0,3.0,,,,,3.0,174,6,3.0,Medium,,4
4085,4085,SYSTEM,"Alright, departure and destination?",Train-Request,,,,,,Train,Request,,176,7,,Medium,Request,4
4112,4112,USER,"Sunday as well, please.",Train-Inform,3.0,3.0,3.0,,,Train,Inform,3.0,177,14,3.0,Medium,Inform,4
4152,4152,USER,Try for one day.,Hotel-Inform,2.0,2.0,3.0,,,Hotel,Inform,2.33,178,30,2.333,Low,Inform,4
4237,4237,SYSTEM,on the same area?,Restaurant-Request,,,,,,Restaurant,Request,,181,31,,Medium,Request,4
4358,4358,USER,How about for Sunday?,Hotel-Inform,2.0,2.0,3.0,3.0,,Hotel,Inform,2.5,187,6,2.418,Low,Inform,4
4372,4372,USER,how about chinese?,Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,188,2,3.0,Medium,Inform,3
4381,4381,SYSTEM,They serve chinese food.,Restaurant-Inform,,,,,,Restaurant,Inform,,188,11,,Medium,Inform,4
4444,4444,USER,Take your time.,,4.0,3.0,3.0,3.0,,,,3.25,191,16,3.291,High,,3
4446,4446,USER,From the gastropub,Taxi-Inform,3.0,3.0,3.0,3.0,,Taxi,Inform,3.0,191,18,3.0,Medium,Inform,3
4488,4488,USER,How about Chinese food?,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,193,6,3.0,Medium,Inform,4
4534,4534,USER,I don't care.,,2.0,3.0,2.0,,,,,2.33,195,2,2.333,Low,,3
4576,4576,USER,any range is fine.,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,197,4,3.0,Medium,Inform,4
4582,4582,USER,Do they also deliver?,,4.0,3.0,3.0,,,,,3.33,197,10,3.333,High,,4
4712,4712,USER,I need the address,Attraction-Request,3.0,3.0,3.0,,,Attraction,Request,3.0,202,10,3.0,Medium,Request,4
4716,4716,USER,We like european food.,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,202,14,3.0,Medium,Inform,4
4734,4734,USER,"Yes, Romanian please.",Restaurant-Inform,3.0,4.0,3.0,3.0,,Restaurant,Inform,3.25,203,2,3.291,High,Inform,3
4736,4736,USER,I guess try European.,Restaurant-Inform,2.0,3.0,3.0,3.0,,Restaurant,Inform,2.75,203,4,2.709,Low,Inform,4
4742,4742,USER,How about at 16:45?,Restaurant-Inform,2.0,3.0,3.0,3.0,,Restaurant,Inform,2.75,203,10,2.709,Low,Inform,4
4746,4746,USER,"Hmm, yes. Someplace expensive.",Hotel-Inform,3.0,4.0,3.0,3.0,,Hotel,Inform,3.25,203,14,3.291,High,Inform,4
4814,4814,USER,Do they have internet?,Hotel-Request,3.0,3.0,3.0,,,Hotel,Request,3.0,206,8,3.0,Medium,Request,4
4831,4831,SYSTEM,Does location matter?,Restaurant-Request,,,,,,Restaurant,Request,,207,1,,Medium,Request,3
4844,4844,USER,what their postcode?,Restaurant-Request,3.0,3.0,3.0,,,Restaurant,Request,3.0,207,14,3.0,Medium,Request,3
4886,4886,USER,How about gastropub?,Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,210,2,3.0,Medium,Inform,3
4888,4888,USER,I do not care,Restaurant-Inform,3.0,2.0,3.0,3.0,,Restaurant,Inform,2.75,210,4,2.709,Low,Inform,4
4932,4932,USER,I don't care,,3.0,3.0,3.0,,,,,3.0,212,2,3.0,Medium,,3
4948,4948,USER,I don't care.,,2.0,3.0,3.0,,,,,2.67,213,2,2.667,Low,,3
5090,5090,USER,Just for myself.,Train-Inform,3.0,3.0,4.0,3.0,,Train,Inform,3.25,219,20,3.291,High,Inform,3
5103,5103,SYSTEM,For how many people?,Train-Request,,,,,,Train,Request,,220,7,,Medium,Request,4
5168,5168,USER,From the hotel discussed.,Hotel-Inform,3.0,3.0,2.0,3.0,3.0,Hotel,Inform,2.8,222,28,2.714,Medium,Inform,4
5206,5206,USER,Yes alright then.,,3.0,3.0,3.0,3.0,,,,3.0,224,12,3.0,Medium,,3
5374,5374,USER,How about Indian food?,Restaurant-Inform,2.0,3.0,3.0,2.0,,Restaurant,Inform,2.5,231,8,2.582,Low,Inform,4
5410,5410,USER,"No, I am not.",,3.0,2.0,3.0,2.0,,,,2.5,233,6,2.582,Low,,4
5433,5433,SYSTEM,Okay! For when?,Booking-Request,,,,,,Booking,Request,,234,3,,Medium,Request,3
5534,5534,USER,What's their postcode?,Attraction-Request,3.0,3.0,3.0,3.0,,Attraction,Request,3.0,238,16,3.0,Medium,Request,3
5535,5535,SYSTEM,their postcode is cb30nd,Hotel-Inform,,,,,,Hotel,Inform,,238,17,,Medium,Inform,4
5548,5548,USER,"Yes, for one please.",,3.0,3.0,3.0,4.0,,,,3.25,239,6,3.126,Medium,,4
5572,5572,USER,does it have wifi?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,240,6,3.0,Medium,Inform,4
5598,5598,USER,How about any area?,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,241,2,3.0,Medium,Inform,4
5604,5604,USER,Do they allow BYOB?,,3.0,3.0,3.0,,,,,3.0,241,8,3.0,Medium,,4
5611,5611,SYSTEM,TR9102 arrives at 05:11,Train-Inform,,,,,,Train,Inform,,242,1,,Medium,Inform,4
5633,5633,SYSTEM,What area of town?,Hotel-Request,,,,,,Hotel,Request,,243,3,,Medium,Request,4
5640,5640,USER,"No, that doesn't matter.",Restaurant-Inform,3.0,3.0,2.0,,,Restaurant,Inform,2.67,243,10,2.667,Low,Inform,4
5685,5685,SYSTEM,It's a college attraction.,Attraction-Inform,,,,,,Attraction,Inform,,245,7,,Medium,Inform,4
5690,5690,USER,I require free wifi.,,2.0,3.0,3.0,,,,,2.67,245,12,2.667,Low,,4
5746,5746,USER,Is it a guesthouse?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,248,2,3.0,Medium,Inform,4
5880,5880,USER,Yes please do.,,3.0,4.0,3.0,,,,,3.33,253,6,3.333,High,,3
5988,5988,USER,How about 3 nights?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,257,10,3.0,Medium,Inform,4
6028,6028,USER,"Phone number, please.",Restaurant-Request,5.0,3.0,3.0,3.0,,Restaurant,Request,3.5,259,10,3.582,High,Request,3
6040,6040,USER,Try another type.,Hotel-Inform,4.0,3.0,3.0,,,Hotel,Inform,3.33,260,8,3.333,High,Inform,3
6084,6084,USER,I'm going to leicester.,Train-Inform,4.0,3.0,3.0,,,Train,Inform,3.33,262,8,3.333,High,Inform,4
6262,6262,USER,I appreciate that.,,4.0,4.0,4.0,2.0,4.0,,,3.6,269,24,3.751,High,,3
6373,6373,SYSTEM,"No, it is expensive.",Restaurant-Inform,,,,,,Restaurant,Inform,,274,3,,Medium,Inform,4
6398,6398,USER,I would like chinese.,Restaurant-Inform,5.0,3.0,3.0,3.0,3.0,Restaurant,Inform,3.4,275,6,3.573,High,Inform,4
6418,6418,USER,Is there live music?,,3.0,3.0,3.0,,,,,3.0,276,6,3.0,Medium,,4
6448,6448,USER,How about 17:30 instead?,Restaurant-Inform,2.0,3.0,3.0,3.0,,Restaurant,Inform,2.75,278,6,2.709,Low,Inform,4
6454,6454,USER,Is that expensive?,,2.0,3.0,3.0,3.0,,,,2.75,278,12,2.709,Low,,3
6549,6549,SYSTEM,What is your destination?,Train-Request,,,,,,Train,Request,,282,11,,Medium,Request,4
6594,6594,USER,Modern Eclectic please,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,284,10,3.0,Medium,Inform,3
6612,6612,USER,I don't care,,3.0,3.0,3.0,,,,,3.0,285,4,3.0,Medium,,3
6630,6630,USER,Is there outdoor seating?,,2.0,3.0,3.0,,,,,2.67,286,6,2.667,Low,,4
6686,6686,USER,Do they take Visa?,,3.0,3.0,3.0,,,,,3.0,289,8,3.0,Medium,,4
6742,6742,USER,"No, that's all right.",,2.0,3.0,3.0,,,,,2.67,291,20,2.667,Low,,4
6781,6781,SYSTEM,How about the ghandi?,Restaurant-Recommend,,,,,,Restaurant,Recommend,,293,9,,Medium,Recommend,4
6786,6786,USER,Ok lets try there.,,3.0,4.0,4.0,,,,,3.67,293,14,3.667,High,,4
6882,6882,USER,Yes please.,,3.0,4.0,3.0,3.0,,,,3.25,297,16,3.291,High,,2
7014,7014,USER,That's all I needed.,,3.0,3.0,3.0,,,,,3.0,303,20,3.0,Medium,,4
7040,7040,USER,Let's go with lebanese.,Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,305,4,3.0,Medium,Inform,4
7133,7133,SYSTEM,Reference number is 26OVK8Q2.,Booking-Book,,,,,,Booking,Book,,308,13,,Medium,Book,4
7298,7298,USER,Nope. That'll be it.,,4.0,4.0,3.0,3.0,,,,3.5,315,12,3.582,High,,4
7332,7332,USER,Is that expensive?,,3.0,3.0,2.0,2.0,,,,2.5,317,4,2.582,Low,,3
7468,7468,USER,I don't care,,2.0,3.0,3.0,,,,,2.67,323,2,2.667,Low,,3
7513,7513,SYSTEM,"Yes, it's XXNQ81IE.",Booking-Book,,,,,,Booking,Book,,325,17,,Medium,Book,3
7523,7523,SYSTEM,TR4861 leaves at 13:29,Train-Inform,,,,,,Train,Inform,,326,7,,Medium,Inform,4
7608,7608,USER,Does it allow children?,,3.0,3.0,3.0,3.0,,,,3.0,329,14,3.0,Medium,,4
7831,7831,SYSTEM,Anything else today?,general-reqmore,,,,,,general,reqmore,,339,25,,Medium,reqmore,3
7836,7836,USER,50 to 75 dollars,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,340,2,3.0,Medium,Inform,4
7851,7851,SYSTEM,Sure! That is BANQDUCA.,Booking-Book,,,,,,Booking,Book,,340,17,,Medium,Book,4
7858,7858,USER,I don't care.,,3.0,3.0,2.0,,,,,2.67,341,4,2.667,Low,,3
7866,7866,USER,yes please,,3.0,3.0,3.0,,,,,3.0,341,12,3.0,Medium,,2
7872,7872,USER,A guesthouse please.,Hotel-Inform,3.0,3.0,4.0,,,Hotel,Inform,3.33,342,2,3.333,High,Inform,3
7890,7890,USER,"No, nothing at all.",,3.0,3.0,4.0,,,,,3.33,342,20,3.333,High,,4
7911,7911,SYSTEM,Have a wonderful time.,general-bye,,,,,,general,bye,,343,19,,Medium,bye,4
7938,7938,USER,Do they serve alcohol?,,5.0,3.0,3.0,3.0,,,,3.5,345,12,3.582,High,,4
7948,7948,USER,I have no preference.,,3.0,2.0,3.0,,,,,2.67,346,2,2.667,Low,,4
7950,7950,USER,What about Italian food?,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,346,4,3.0,Medium,Inform,4
8119,8119,SYSTEM,No expensive restaurant,Restaurant-NoOffer,,,,,,Restaurant,NoOffer,,353,3,,Medium,NoOffer,3
8148,8148,USER,How about two night?,Hotel-Inform,3.0,3.0,2.0,,,Hotel,Inform,2.67,354,12,2.667,Low,Inform,4
8188,8188,USER,does it have wifi?,Hotel-Inform,3.0,3.0,3.0,2.0,,Hotel,Inform,2.75,356,10,2.874,Medium,Inform,4
8202,8202,USER,Is wifi available?,,3.0,3.0,3.0,,,,,3.0,357,8,3.0,Medium,,3
8278,8278,USER,That works for me.,,4.0,3.0,4.0,3.0,,,,3.5,360,16,3.582,High,,4
8344,8344,USER,Does it serve alcohol?,,3.0,3.0,3.0,,,,,3.0,363,4,3.0,Medium,,4
8347,8347,SYSTEM,They serve italian food.,Restaurant-Inform,,,,,,Restaurant,Inform,,363,7,,Medium,Inform,4
8376,8376,USER,Not at all.,,3.0,3.0,4.0,,,,,3.33,364,20,3.333,High,,3
8465,8465,SYSTEM,Have a great time.,general-bye,,,,,,general,bye,,368,23,,Medium,bye,4
8500,8500,USER,I do not care.,Restaurant-Inform,3.0,2.0,3.0,,,Restaurant,Inform,2.67,370,2,2.667,Low,Inform,4
8510,8510,USER,What is the postcode?,,3.0,3.0,3.0,,,,,3.0,370,12,3.0,Medium,,4
8556,8556,USER,Do they have internet?,Hotel-Request,4.0,3.0,3.0,,,Hotel,Request,3.33,372,12,3.333,High,Request,4
8632,8632,USER,How about 12:30?,Restaurant-Inform,3.0,4.0,3.0,3.0,,Restaurant,Inform,3.25,375,12,3.291,High,Inform,3
8642,8642,USER,Any area is fine.,,3.0,3.0,3.0,,,,,3.0,376,2,3.0,Medium,,4
8784,8784,USER,Churches could be interesting,Attraction-Inform,3.0,3.0,3.0,,,Attraction,Inform,3.0,382,2,3.0,Medium,Inform,4
8794,8794,USER,I want expensive please.,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,382,12,3.0,Medium,Inform,4
8856,8856,USER,I don't care.,,3.0,3.0,3.0,,,,,3.0,385,2,3.0,Medium,,3
8858,8858,USER,How about vietnamese food?,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,385,4,3.0,Medium,Inform,4
8868,8868,USER,and also postcode please?,,3.0,3.0,3.0,,,,,3.0,385,14,3.0,Medium,,4
8940,8940,USER,Does it serve alcohol?,,3.0,3.0,3.0,,,,,3.0,388,12,3.0,Medium,,4
9048,9048,USER,I don't care.,,3.0,3.0,3.0,,,,,3.0,393,2,3.0,Medium,,3
9058,9058,USER,and also postcode please?,,3.0,3.0,3.0,,,,,3.0,393,12,3.0,Medium,,4
9160,9160,USER,Yes can you please?,,5.0,3.0,3.0,3.0,,,,3.5,398,8,3.582,High,,4
9277,9277,SYSTEM,"Sure, I can!",general-welcome,,,,,,general,welcome,,402,21,,Medium,welcome,3
9302,9302,USER,Yes that sounds perfect!,,4.0,4.0,3.0,,,,,3.67,403,12,3.667,High,,4
9319,9319,SYSTEM,They serve British food.,Restaurant-Inform,,,,,,Restaurant,Inform,,404,3,,Medium,Inform,4
9412,9412,USER,how about lebanese instead?,Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,407,20,3.0,Medium,Inform,4
9482,9482,USER,Do they take Mastercard?,,3.0,3.0,2.0,,,,,2.67,411,10,2.667,Low,,4
9554,9554,USER,"No, I do not.",,2.0,3.0,2.0,2.0,,,,2.25,414,10,2.291,Low,,4
9774,9774,USER,What about a college?,Attraction-Inform,3.0,3.0,2.0,3.0,,Attraction,Inform,2.75,423,10,2.709,Low,Inform,4
9912,9912,USER,There is only me.,,3.0,3.0,3.0,2.0,,,,2.75,429,10,2.874,Medium,,4
10022,10022,USER,"Yes, Caribbean food please.",Restaurant-Inform,3.0,4.0,3.0,,,Restaurant,Inform,3.33,434,2,3.333,High,Inform,4
10030,10030,USER,Yes. Just one person.,,3.0,4.0,3.0,,,,,3.33,434,10,3.333,High,,4
10096,10096,USER,"No, that is all.",,4.0,3.0,4.0,3.0,,,,3.5,436,22,3.582,High,,4
10246,10246,USER,I'm leaving on Saturday.,Train-Inform,3.0,3.0,3.0,,,Train,Inform,3.0,443,6,3.0,Medium,Inform,4
10282,10282,USER,Please book that train.,Train-Inform,4.0,4.0,3.0,,,Train,Inform,3.67,444,14,3.667,High,Inform,4
10293,10293,SYSTEM,How about the Avalon?,Hotel-Recommend,,,,,,Hotel,Recommend,,445,1,,Medium,Recommend,4
10350,10350,USER,"In the centre, please.",Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,448,2,3.0,Medium,Inform,4
10361,10361,SYSTEM,you are welcome,general-welcome,,,,,,general,welcome,,448,13,,Medium,welcome,3
10398,10398,USER,Lets try anatolia.,Restaurant-Inform,3.0,2.0,3.0,,,Restaurant,Inform,2.67,449,18,2.667,Low,Inform,3
10474,10474,USER,Have a wonderful day!,general-bye,3.0,3.0,3.0,,,general,bye,3.0,452,14,3.0,Medium,bye,4
10594,10594,USER,How about tuesday?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,457,12,3.0,Medium,Inform,3
10596,10596,USER,Try tuesday please.,Hotel-Inform,3.0,2.0,2.0,,,Hotel,Inform,2.33,457,14,2.333,Low,Inform,3
10626,10626,USER,What time is checkin?,,5.0,3.0,3.0,3.0,,,,3.5,458,14,3.582,High,,4
10672,10672,USER,Do they allow BYOB?,,3.0,3.0,2.0,3.0,3.0,,,2.8,461,2,2.714,Medium,,4
10710,10710,USER,Centre of Cambridge,Restaurant-Inform,3.0,3.0,3.0,,,Restaurant,Inform,3.0,463,2,3.0,Medium,Inform,3
10744,10744,USER,How about thai?,Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,465,2,3.0,Medium,Inform,3
10746,10746,USER,I don't care.,,3.0,2.0,3.0,2.0,,,,2.5,465,4,2.582,Low,,3
10752,10752,USER,Centre please,Restaurant-Inform,3.0,4.0,3.0,3.0,,Restaurant,Inform,3.25,465,10,3.291,High,Inform,2
