index,Speaker,Text,Domain-Intent,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5,Domain,Intent,ConvID,TextLength
7513,SYSTEM,"Yes, it's XXNQ81IE.",Booking-Book,,,,,,Booking,Book,325,19
7851,SYSTEM,Sure! That is BANQDUCA.,Booking-Book,,,,,,Booking,Book,340,23
7999,SYSTEM,Booking was successful for charlie chan's for Friday at 19:00. The table will be reserved for 15 minutes. The reference number is POUAEXHL. Do you need further help with anything?,Booking-Book,,,,,,Booking,Book,348,179
8081,SYSTEM,I've booked a single occupancy room at Acorn Guest House for five nights beginning Tuesday. Your reference number is 4KJSRRGA. Can I help you with anything else today?,Booking-Book,,,,,,Booking,Book,351,167
8149,SYSTEM,That worked. Your reference number is YZMQ4JNN.,Booking-Book,,,,,,Booking,Book,354,47
9273,SYSTEM,"No trouble! I've booked you for 7 people at 2 nights starting Saturday, at the Acorn Guest House located at 154 Chesterton Road. Can I help you with anything else?",Booking-Book,,,,,,Booking,Book,402,163
9637,SYSTEM,"Sorry about that, the reference number is 5F63AFCU",Booking-Book,,,,,,Booking,Book,417,50
10031,SYSTEM,Great your reference number is 2K1P6FTA. Thank you.,Booking-Book,,,,,,Booking,Book,434,51
10165,SYSTEM,"I have reserved 2 nights for 3 people starting on Sunday at the Acorn Guest house which is in the north of the city, is moderately priced and has internet. Reference K0RIYU4Z.",Booking-Book,,,,,,Booking,Book,439,175
10529,SYSTEM,"It is all booked, reference number is HYTD7MDQ",Booking-Book,,,,,,Booking,Book,455,46
10705,SYSTEM,"You are all set, the reference number is ZS2OUTXD",Booking-Book,,,,,,Booking,Book,462,49
10775,SYSTEM,Yes. Your reference number is 56MJKUW1.,Booking-Book,,,,,,Booking,Book,466,39
10839,SYSTEM,"It's all booked, your reference number is STQ9N9UV",Booking-Book,,,,,,Booking,Book,469,50
10895,SYSTEM,"It's all booked, your reference is ZNL8D0EG",Booking-Book,,,,,,Booking,Book,472,43
11025,SYSTEM,"Yes. I have successfully books you at the shiraz resturant, address 84 Regent Street City Centre. Your reference number is 9OE645NY. You should arrive within 15 minutes of your time.",Booking-Book,,,,,,Booking,Book,477,182
11169,SYSTEM,The booking was already done.,Booking-Book,,,,,,Booking,Book,483,29
11375,SYSTEM,"Your reservation for 19:15 at the De Luca Cucina and Bar and the reference number is VDWC6N50. Their phone number is, 01223356666. May I help you with anything else?",Booking-Book,,,,,,Booking,Book,494,165
11949,SYSTEM,"Of course, the reference number is JP761RJS.",Booking-Book,,,,,,Booking,Book,517,44
12299,SYSTEM,All set. Your reference number is ND2FGBF1.,Booking-Book,,,,,,Booking,Book,534,43
12401,SYSTEM,booking was a success! confirmation is IFNJYW3X.,Booking-Book,,,,,,Booking,Book,538,48
12595,SYSTEM,You are booked. Your reference number is PWFVG1HP,Booking-Book,,,,,,Booking,Book,546,49
13363,SYSTEM,You're all set! Your reference number is NEZN98ZC.,Booking-Book,,,,,,Booking,Book,581,50
14067,SYSTEM,"Your reservation for 5 people has been made for a 4 day stay at Warkworth House, arriving Saturday. Your reference number is 6DF5Q5QJ. Is there anything else I can do?",Booking-Book,,,,,,Booking,Book,613,167
14495,SYSTEM,Your booking for Kymmoy restaurant was successful and your reference number is 5IFCHKNS. The information for you taxi is a Grey Tesla and its contact number is 07674543654.,Booking-Book,,,,,,Booking,Book,632,172
15287,SYSTEM,"I am very sorry, our system was giving me an error, but I have managed to book your party of 5 at 16:45 on Tuesday. Your reference number is XRR7UTLU. Is there anything else I can help with?",Booking-Book,,,,,,Booking,Book,666,190
15403,SYSTEM,Done. The reference number is : FFE8ZDNV,Booking-Book,,,,,,Booking,Book,671,40
15483,SYSTEM,"Booking for 1 night at acorn guest house was successful. Reference number VO8YM3X4. The address is 154 chesterton road, phone 01223353888, postcode cb41da. Will you need anything else?",Booking-Book,,,,,,Booking,Book,674,184
15849,SYSTEM,Your reservation is made. The number is KSFSKIC1.,Booking-Book,,,,,,Booking,Book,689,49
16485,SYSTEM,All set. Your reference number is K2BO09VQ.,Booking-Book,,,,,,Booking,Book,717,43
16551,SYSTEM,Your reference number is JDBOODV3.,Booking-Book,,,,,,Booking,Book,720,34
17275,SYSTEM,"I am sorry. There restaurant reservation was not completed. You are now booked at the golden curry. The reference number is 6EF50SVX. Do you want a hotel booked, too?",Booking-Book,,,,,,Booking,Book,753,166
17407,SYSTEM,"I have booked 6 into Acorn Guest House for 2 days starting Sunday. It is moderately priced, in the north, with parking. Reference number 0GNWIGNC. Is there anything else?",Booking-Book,,,,,,Booking,Book,758,170
17479,SYSTEM,The booking for 7 people at the Hobsons House arriving on Sunday for 5 days 4 nights was successful. Your Reference number is : FFJYSLN4. Can I assist you any further?,Booking-Book,,,,,,Booking,Book,761,167
18055,SYSTEM,Your reservation for 7 at Pizza express Fen Ditton this Friday at 11:45 was successful. The table will be reserved for 15 minutes. Your Reference number is : E5ZUIWJS.,Booking-Book,,,,,,Booking,Book,786,167
18483,SYSTEM,i have booked you clare hall,Booking-Book,,,,,,Booking,Book,804,28
18509,SYSTEM,Your reservation with Prezzo was successful and your reference number is ILWV6LDN. They'll hold your table for 15 minutes. What is your destination for the train?,Booking-Book,,,,,,Booking,Book,805,162
18565,SYSTEM,You're all booked. Reference number is OBL5NIMY.,Booking-Book,,,,,,Booking,Book,808,48
18869,SYSTEM,"Certainly, your Reference number is : EWOFBMJ3.",Booking-Book,,,,,,Booking,Book,821,47
20979,SYSTEM,Booked! Reference number is : E0RHMUR6.,Booking-Book,,,,,,Booking,Book,909,39
21229,SYSTEM,Gladly. I have a table reserved for you at the Sesame Restaurant and bar for Monday at 17:00. Your reference is 5OEIV10L. Is there anything else I can help you with?,Booking-Book,,,,,,Booking,Book,919,165
21401,SYSTEM,Monday just became available so I booked it before someone else does. Let me know if that won't work for you. The table will be reserved for 15 minutes. Reference number is : CAMFOFY8,Booking-Book,,,,,,Booking,Book,926,183
21551,SYSTEM,Booking was successful. The table will be reserved for 15 minutes at the stazione restaurant and coffee bar. Address is Market Hill City Centre Reference number is : OHN98K8U.,Booking-Book,,,,,,Booking,Book,933,175
21565,SYSTEM,Your booking at the Alexander Bed and Breakfast for a party of 4 for Saturday for 6 days 5 nights was successful. Your Reference number is: X8LLFDAV. Anything else today?,Booking-Book,,,,,,Booking,Book,933,170
21741,SYSTEM,"Your booking was successful. Huntington Marriott Hotel, 3 days for 5 people. Your reference number is: DF32QQ7O. Is there anything else I can help you with today?",Booking-Book,,,,,,Booking,Book,942,162
22051,SYSTEM,Booking was successful is there anything else?,Booking-Book,,,,,,Booking,Book,955,46
22325,SYSTEM,I have booked the Hamilton Lodge for you. Starting on Saturday for 2 nights for 7 people. Your reference number is 63GDBABK. Is there anything else I can do for you?,Booking-Book,,,,,,Booking,Book,966,165
22457,SYSTEM,You got it. Your reference number is YUT2VZIR.,Booking-Book,,,,,,Booking,Book,971,46
22593,SYSTEM,"It is booked, and your reference number is BG6TTZOQ",Booking-Book,,,,,,Booking,Book,977,51
61,SYSTEM,"There are several parks in town. In the centre there's the Cambridge University Botanic Gardens, and a few others in the north, east, and south. Do you have a preference?",Attraction-Inform,,,,,,Attraction,Inform,2,170
201,SYSTEM,"Abbey pool and astroturf pitch is located in east area. Pool way, white hill road off newmarket road. Would you like any other information?",Attraction-Inform,,,,,,Attraction,Inform,9,139
203,SYSTEM,"Unfortunately there are no swimming attractions in the south. Entertainment wise there are 2 options, Nusha and Tenpin. Would you like more info on one of them?",Attraction-Inform,,,,,,Attraction,Inform,9,160
205,SYSTEM,"No problem. For Nusha, the phone number is 01223902158 with a post code of cb17dy. For Tenpin, the phone number is 08715501010 with a post code of cb17dy.",Attraction-Inform,,,,,,Attraction,Inform,9,154
239,SYSTEM,"I'm sorry, it doesn't look like Loch Fyne has tables at that time, and they're the only one that focuses on seafood. Would you like to try somewhere else?",Restaurant-Inform,,,,,,Restaurant,Inform,10,154
257,SYSTEM,The post code is cb259aq.,Restaurant-Inform,,,,,,Restaurant,Inform,11,25
270,USER,"Just one, thanks.",Hotel-Inform,3,3,3,3,,Hotel,Inform,11,17
334,USER,"Yes, free parking would be helpful. Please book me a room for four guests, for four nights. I will be arriving on Friday. May I have the reference number?",Hotel-Inform,3,3,3,,,Hotel,Inform,14,154
377,SYSTEM,I recommend Acorn Guesthouse. They are in the moderate price range and have 4 stars. They offer both free internet and parking. May I reserve you any rooms?,Booking-Inform,,,,,,Booking,Inform,15,156
385,SYSTEM,154 chesterton road,Hotel-Inform,,,,,,Hotel,Inform,15,19
427,SYSTEM,"The Place is a nightclub in the south part of town. I'm sorry, i do not have the entrance fee. Their phone number is 01223324600. Is there anything else?",Attraction-Inform,,,,,,Attraction,Inform,17,153
432,USER,How about Indian food?,Restaurant-Inform,3,5,3,,,Restaurant,Inform,18,22
495,SYSTEM,"Hamilton Lodge's phone number is 01223365664, they're at 156 chesterton road, and they're moderately priced. Would you like to book a room? Or is there anything else I can help with?",Hotel-Inform,,,,,,Hotel,Inform,20,182
546,USER,Does it have free wifi?,Hotel-Inform,3,3,3,3,,Hotel,Inform,23,23
559,SYSTEM,I apologize for my early snappiness. I'd be happy to find a museum for you to visit while your here. Is there a particular area of town you'd like?,Attraction-Inform,,,,,,Attraction,Inform,24,147
563,SYSTEM,can i book it for you?,Booking-Inform,,,,,,Booking,Inform,24,22
604,USER,North part of town,Restaurant-Inform,3,3,3,,,Restaurant,Inform,26,18
671,SYSTEM,"There are a total of 24 guesthouses available. Acorn Guest House has a 4 star rating, offers free wifi and free parking. Would you be interested in booking here?",Hotel-Inform,,,,,,Hotel,Inform,30,161
675,SYSTEM,"Acorn Guesthouse is not in the center, however I found two guesthouses that are. Alexander Bed and Breakfast is 4 stars. Would you like to book there?",Hotel-Inform,,,,,,Hotel,Inform,30,150
708,USER,Can you try 12:30 please?,Restaurant-Inform,3,3,3,,,Restaurant,Inform,31,25
714,USER,"Before we worry about the taxi, I guess it would help to find which attraction. Sorry to confuse you. What attractions do you have in the west?",Attraction-Inform,3,2,3,,,Attraction,Inform,31,143
744,USER,book me 6 tickets.,Train-Inform,3,4,3,3,3,Train,Inform,32,18
811,SYSTEM,It is a 4-star rating.,Hotel-Inform,,,,,,Hotel,Inform,35,22
820,USER,"I need a Hotel type in the west that's 4 stars to book for 6 people for 5 nights, starting on Saturday, please recheck that you can't book that.",Hotel-Inform,3,2,3,2,,Hotel,Inform,35,144
844,USER,Monday at 11:45 please.,Restaurant-Inform,3,3,3,,,Restaurant,Inform,36,23
846,USER,"Sorry, did you not understand me earlier? I said the restaurant needs to be in the same area as the attraction. Neither of those are in the west.",Attraction-Inform,2,1,2,,,Attraction,Inform,36,145
847,SYSTEM,"cambridge lodge restaurant will suit your needs and is located in the west. I'm sorry about before, there must have been something wrong with my computer. Can I book it?",Restaurant-Inform,,,,,,Restaurant,Inform,36,169
892,USER,"Ok, can you try 2 nights?",Hotel-Inform,3,3,3,3,,Hotel,Inform,38,25
900,USER,"Please pick one for me. The wife just ""politely requested"" that we change our mind on the parking, can you pick one that includes free parking?",Hotel-Inform,3,3,3,3,2,Hotel,Inform,39,143
931,SYSTEM,TR8272 leaves at 05.00,Train-Inform,,,,,,Train,Inform,41,22
934,USER,"Actually, I gave you the wrong day. I'd like to travel on Wednesday, from Cambridge to Broxbourne, and I'd like to leave anytime after 12:45.",Train-Inform,4,3,3,3,,Train,Inform,41,141
947,SYSTEM,I can definitely help with that. I have two different entertainment venues in the south. One is Nusha and the other is Tenpin. Does either sound interesting?,Attraction-Inform,,,,,,Attraction,Inform,41,157
977,SYSTEM,"The Ashley Hotel and Lovell Lodge are moderately priced hotels, and the Express by Holiday Cambridge, Gonville Hotel, and Huntingdon Marriott are more expensively priced. All have parking and wifi.",Hotel-Inform,,,,,,Hotel,Inform,43,197
1002,USER,Any in the south?,Attraction-Inform,3,5,3,3,,Attraction,Inform,44,17
1039,SYSTEM,"There are three Turkish restaurants, all in the center of town. The Meze Bar is expensive, but the other two are more moderate. Would you like to book a table?",Restaurant-Inform,,,,,,Restaurant,Inform,45,159
1065,SYSTEM,I have all prices ranges.,Restaurant-Inform,,,,,,Restaurant,Inform,46,25
1092,USER,"I'm looking for information in Cambridge......Oh, I should tell you what I'm looking for! How silly of me! Can you please give me some information on cineworld cinema?",Attraction-Inform,3,3,3,,,Attraction,Inform,48,167
1140,USER,Right. Tuesday. Sorry.,Train-Inform,3,3,2,3,,Train,Inform,50,22
1241,SYSTEM,It is a 50 minute trip,Train-Inform,,,,,,Train,Inform,54,22
1280,USER,Is there any moderately priced hotels in the city centre then? I need a hotel for the same group of people for 5 nights starting the same day.,Hotel-Inform,3,3,3,,,Hotel,Inform,56,142
1281,SYSTEM,Looks like there was an error in our system earlier. There are two moderately priced hotels in the north - The Ashley and The Lovell Lodge.,Hotel-Inform,,,,,,Hotel,Inform,56,139
1328,USER,italian food willl do,Restaurant-Inform,3,3,3,,,Restaurant,Inform,58,21
1332,USER,I also need a train.,Train-Inform,3,3,4,,,Train,Inform,58,20
1355,SYSTEM,"My apologies. We actually have several expensive hotels with free parking. For example, the Gonville Hotel is in city centre and has free parking.",Hotel-Inform,,,,,,Hotel,Inform,59,146
1425,SYSTEM,"Did you want me to book that hotel for you? The Huntingdon Marriott, The Cambridge Belfry, and the University Arms all meet your requirements.",Booking-Inform,,,,,,Booking,Inform,61,142
1426,USER,"I would like to book The Huntingdon Marriott on Thursday for 5 nights for the same 2 people. If it is not available, please book another one.",Hotel-Inform,3,3,2,,,Hotel,Inform,61,141
1433,SYSTEM,"I have booked your taxi to bloomsbury from huntingdon, Booked car type: grey volvo Contact number: 07021736620. May I help with anything else?",Taxi-Inform,,,,,,Taxi,Inform,61,142
1484,USER,Definitely cheap.,Restaurant-Inform,3,3,3,,,Restaurant,Inform,64,17
1521,SYSTEM,"There are four theatres in Centre: ADC Theatre, Cambridge Arts Theatre, Mumford Theatre and The Cambridge Corn Exchange. Would you be interested in any of these?",Attraction-Inform,,,,,,Attraction,Inform,66,161
1522,USER,"Cambridge Arts sounds good, can I get the phone number? Is there any entrance fee? And then a nice expensive dinner in the same area please.",Restaurant-Inform,3,3,3,3,,Restaurant,Inform,66,140
1523,SYSTEM,"Cambridge arts theatre phone is 0122350333, no entrance fee information is available. There are 33 restaurants in your price range, do you have a food type preference?",Attraction-Inform,,,,,,Attraction,Inform,66,167
1573,SYSTEM,They serve chinese food.,Restaurant-Inform,,,,,,Restaurant,Inform,68,24
1620,USER,"No, I'm coming from Ely.",Train-Inform,2,2,2,3,,Train,Inform,71,24
1625,SYSTEM,It is 17 minutes.,Train-Inform,,,,,,Train,Inform,71,17
1712,USER,The restaurant please.,Restaurant-Inform,3,3,3,3,,Restaurant,Inform,74,22
1714,USER,to the attraction,Attraction-Inform,3,3,3,4,,Attraction,Inform,74,17
1715,SYSTEM,"I apologize, there's been a misunderstanding. Before we can book your taxi, we need to know which college. There are 18 colleges. What area are you looking for?",Attraction-Inform,,,,,,Attraction,Inform,74,160
1717,SYSTEM,I apologize for the confusion. I have 5 different museums. 3 are free and the other two charge 2.50 pounds. All are in the west. Which do you prefer?,Attraction-Inform,,,,,,Attraction,Inform,74,149
1723,SYSTEM,The contact number for Churchill College is 01223336233. Are you ready to book that taxi now that we know which college you are wanting to travel to?,Attraction-Inform,,,,,,Attraction,Inform,74,149
1724,USER,"Yes please, to be precise and clear up prior misunderstandings, I need a taxi at 11.45 from Churchill College to Maharajah Tandoor so I can get there by 12.",Taxi-Inform,3,3,3,4,,Taxi,Inform,74,156
1814,USER,"How about 3 nights, then?",Hotel-Inform,3,2,3,,,Hotel,Inform,78,25
1833,SYSTEM,"There are 2 results for expensive hotels in town centre. One is the gonville hotel, the other university arms hotel. Would you like to book one of these?",Hotel-Inform,,,,,,Hotel,Inform,79,153
1896,USER,"Yes, I just happen to be looking for a place to stay tonight. The hotel should be located in the west part of town and it should include free parking.",Hotel-Inform,3,3,3,,,Hotel,Inform,81,150
2063,SYSTEM,i have 29 options for you,Hotel-Inform,,,,,,Hotel,Inform,88,25
2125,SYSTEM,"We have many available attractions in city centre. Would you be interested in a nightclub, cinema, theatre, or another type of entertainment?",Attraction-Inform,,,,,,Attraction,Inform,90,141
2209,SYSTEM,"I have located 2 hotel options, Alexander Bed and Breakfast and El Shaddai, both have internet and parking available. Would you like me to book one of these for you?",Hotel-Inform,,,,,,Hotel,Inform,94,165
2228,USER,I can't wait to get to Cambridge and try some of the restaurants I've heard about. Can you tell me about one of them? I think the name is Little Seoul.,Restaurant-Inform,4,3,3,,,Restaurant,Inform,95,151
2255,SYSTEM,"Hold on, I had mistakenly listed you as not wanting free parking (rather than not caring if they did). I have two gueshouses that offer both parking and internet.",Hotel-Inform,,,,,,Hotel,Inform,96,162
2282,USER,Does it have free wifi?,Hotel-Inform,3,3,3,,,Hotel,Inform,97,23
2303,SYSTEM,Finches bed and breakfast is a cheap guesthouse in the west with a 4 star rating. It has internet and parking. Would you like me to book this?,Hotel-Inform,,,,,,Hotel,Inform,98,142
2320,USER,Hello! I am about to go to Cambridge and I would like some information about local restaurants. I also need to see if I can book a train to Cambridge that gets there before 15:45.,Train-Inform,4,3,3,3,,Train,Inform,99,179
2326,USER,"Actually, let's look for the train first, please. I'll be traveling from London Kings Cross to Cambridge on Tuesday and I'd like to arrive by 15:45.",Train-Inform,4,3,3,3,,Train,Inform,99,148
2333,SYSTEM,It takes 51minutes.,Train-Inform,,,,,,Train,Inform,99,19
2348,USER,How about korean food?,Restaurant-Inform,3,3,3,,,Restaurant,Inform,100,22
2464,USER,"Yes, can you see if there is a booking available at 18:00 instead? I will also need to make a hotel reservation in a hotel that offers free wifi.",Hotel-Inform,3,3,3,,,Hotel,Inform,105,145
2469,SYSTEM,The address for the University Arms Hotel is Regent Street and the phone number is 01223351241. Would you like me to make a reservation for you?,Hotel-Inform,,,,,,Hotel,Inform,105,144
2485,SYSTEM,"It looks like if you wanted a hotel, you'd need to stay in the west part of town. There are guesthouses that meet your needs, though. Does that work?",Hotel-Inform,,,,,,Hotel,Inform,106,149
2496,USER,I would need a taxi now,Taxi-Inform,3,3,3,,,Taxi,Inform,106,23
2514,USER,Arrive by 11:30.,Train-Inform,3,3,2,3,,Train,Inform,107,16
2533,SYSTEM,It is a 4 star hotel.,Hotel-Inform,,,,,,Hotel,Inform,107,21
2537,SYSTEM,We offer 9 such places.,Restaurant-Inform,,,,,,Restaurant,Inform,108,23
2601,SYSTEM,It's a 105 minute ride.,Train-Inform,,,,,,Train,Inform,110,23
2627,SYSTEM,sure its 01223364222,Taxi-Inform,,,,,,Taxi,Inform,111,20
2698,USER,Is that a gastropub?,Restaurant-Inform,3,4,3,3,,Restaurant,Inform,115,20
2709,SYSTEM,"Rosa's bed and breakfast is a guesthouse in the south, with a 4 star rating, free wifi and cheap price range. Would you like a reservation?",Hotel-Inform,,,,,,Hotel,Inform,115,139
2734,USER,I would like Korean food.,Restaurant-Inform,3,3,3,3,,Restaurant,Inform,116,25
2769,SYSTEM,"Okay, there are four available. How about Hamilton Lodge in the north? It's at 156 chesterton road cb41da with phone 01223365664. Would that work for you?",Hotel-Inform,,,,,,Hotel,Inform,117,154
2862,USER,On Thursday please.,Restaurant-Inform,3,2,3,3,,Restaurant,Inform,122,19
2876,USER,How about 20:00 instead?,Restaurant-Inform,3,3,3,2,,Restaurant,Inform,122,24
2886,USER,"Yes, a train to Cambridge from london kings cross on Thursday by 18:30. If you can get a table for 1 at Graffiti that day at 20:00 or 21:00 too, great.",Train-Inform,4,3,3,3,,Train,Inform,122,151
2936,USER,I prefer the north.,Hotel-Inform,3,3,3,,,Hotel,Inform,125,19
2957,SYSTEM,sure it is 01223902091,Hotel-Inform,,,,,,Hotel,Inform,125,22
3019,SYSTEM,No sorry that is a hotel.,Hotel-Inform,,,,,,Hotel,Inform,129,25
3040,USER,"Friday, 17:45.",Restaurant-Inform,3,3,5,3,,Restaurant,Inform,129,14
3061,SYSTEM,The bedouin is expensive.,Restaurant-Inform,,,,,,Restaurant,Inform,130,25
3099,SYSTEM,"One is Sala Thong in the west, postcode cb39ey and the other is Bangkok City in the centre, postcode c23jx. Would you like me to book one?",Restaurant-Inform,,,,,,Restaurant,Inform,132,138
3106,USER,I also need a taxi to commute between the The junction and the Sala Thong. I need to make sure it arrives before my reservations at Bangkok City.,Taxi-Inform,3,3,3,,,Taxi,Inform,132,145
3198,USER,"My apologies, I actually do not need the hotel booked, but I do need a taxi to commute between the hotel and the restaurant, leaving the hotel at 23:45.",Taxi-Inform,3,2,2,2,,Taxi,Inform,136,152
3199,SYSTEM,"Okay you're all set for a car. There will be a white Volkswagen taking you from the Gonville to Curry Garden, leaving the hotel at 23:45. Their contact number is 07462048280.",Taxi-Inform,,,,,,Taxi,Inform,136,174
3210,USER,Is that a 4-star hotel?,Hotel-Inform,3,2,3,3,,Hotel,Inform,137,23
3213,SYSTEM,"I'm sorry, we actually don't have any hotels that fit your needs; however, Acorn Guest House meets your criteria. Would you like to book that stay?",Hotel-Inform,,,,,,Hotel,Inform,137,147
3229,SYSTEM,we have a variety,Attraction-Inform,,,,,,Attraction,Inform,137,17
3230,USER,"Any kind that you recommend, as long as it is located in the north. I just need to know the attraction type of the one you recommend. Please.",Attraction-Inform,2,2,3,2,,Attraction,Inform,137,141
3235,SYSTEM,Riverboat Georgina is the boat attaction. Milton County park is the park. Entrance to the park is free. What additional information can I provide?,Attraction-Inform,,,,,,Attraction,Inform,137,146
3251,SYSTEM,The train ID is TR0677.,Train-Inform,,,,,,Train,Inform,138,23
3320,USER,"No, it doesn't matter.",Restaurant-Inform,3,3,2,,,Restaurant,Inform,141,22
3325,SYSTEM,"OK, a white Skoda will pick you up at Trinity College and get you to the Lan Hong House by 14:00. The contact number is 07340629776. Can I help further?",Taxi-Inform,,,,,,Taxi,Inform,141,152
3357,SYSTEM,"There are 11 total museums in the centre of town. Would you prefer suggestions for art museums, history museums, science museums, galleries...?",Attraction-Inform,,,,,,Attraction,Inform,143,143
3359,SYSTEM,"I have located Williams Art and Antiques located at Gwydir Street, no. 5 Dale's Brewery. Would you like to visit this museum or would you like another suggestion?",Attraction-Inform,,,,,,Attraction,Inform,143,162
3391,SYSTEM,"Yes, the Gonville Hotel is located in the centre. It is an expensive, 3 star hotel that offers free internet and parking. Would you like a reservation there?",Hotel-Inform,,,,,,Hotel,Inform,144,157
3410,USER,How about 18:00?,Restaurant-Inform,3,3,2,,,Restaurant,Inform,145,16
3433,SYSTEM,It arrives at 06:43.,Train-Inform,,,,,,Train,Inform,146,20
3482,USER,Don't care.,Restaurant-Inform,3,3,3,3,,Restaurant,Inform,149,11
3499,SYSTEM,If you come to the centre of town there are several magnificent churches. And the Old Schools are quite impressive as well. Would you like more information about any of them?,Attraction-Inform,,,,,,Attraction,Inform,150,174
3523,SYSTEM,"Chiquito restaurant bar is in the south part of town. It's address is 2G Cambridge Leisure Park Cherry Hinton Road Cherry Hinton, and it's phone number is 01223 400170.",Restaurant-Inform,,,,,,Restaurant,Inform,151,168
3568,USER,"Yes, for 7 people please.",Train-Inform,3,4,3,,,Train,Inform,153,25
3592,USER,i want some mexican food.,Restaurant-Inform,3,3,3,,,Restaurant,Inform,154,25
3655,SYSTEM,El Shaddai has both internet and parking. They are in the cheap pricerange. The postcode is cb11eg. Would you like me to book a room for you?,Hotel-Inform,,,,,,Hotel,Inform,156,141
3734,USER,Suggest one and I need a reservation for 7 people at 17:00 on Friday and the reference number. I also would like information on Cambridge and County Folk Museum.,Attraction-Inform,3,3,3,,,Attraction,Inform,160,161
3735,SYSTEM,"Alright, I have your booking. Your reference number is: E44GIS9D. I hope you like Charlie Chan's! The C&C folk museum is on the westside, address 2-3 castle street.",Attraction-Inform,,,,,,Attraction,Inform,160,164
3771,SYSTEM,It is moderately priced.,Hotel-Inform,,,,,,Hotel,Inform,162,24
3806,USER,Please try for one night.,Hotel-Inform,2,3,2,,,Hotel,Inform,163,25
3904,USER,How about 18:00?,Restaurant-Inform,3,3,3,,,Restaurant,Inform,168,16
3926,USER,Also on Thursday.,Train-Inform,3,4,3,,,Train,Inform,169,17
3947,SYSTEM,The alpha-milton guest house is in the north and is moderately priced. It has 3 stars and no internet or parking. Would you like to book a room?,Hotel-Inform,,,,,,Hotel,Inform,170,144
