conv_id,conv_text,average_rating,satisfaction_rating,sentiment,token_count
11,"USER Could you help me find an expensive restaurant in the centre?
SYSTEM There are 33 in that area. Please choose a food type. African, Asian, British, Chinese, European, French, Gastropub, Indian, Japanese, Korean, Mediterranean, North American, Modern European, Seafood, Thai, or Turkish.
USER I want to try Seafood. Can you book for 4 people at 17:45 on Thursday?
SYSTEM I'm sorry, it doesn't look like Loch Fyne has tables at that time, and they're the only one that focuses on seafood. Would you like to try somewhere else?
USER Please try booking any different restaurant in the same area and price range as Loch Fyne.
SYSTEM Ok, I can book at Bedouin if you would like? They serve african food.
USER Yes,and book it for 4 people on Thursday at 7:45,thank you.
SYSTEM Ok I have booked a table for 4 at Bedouin on Thursday at 7:45.
USER Great, and do they accept Visa for payment there?
SYSTEM Yes, your Visa can be used to pay your at Bedouin. Are there any other questions I may answer for you?
USER Any Halal options?
SYSTEM I'm sorry, it doesn't look like they have Halal at this restaurant. Should I look up another restaurant that does offer Halal?
USER No, but could you tell me if the Bedouin restaurant offers delivery?
SYSTEM The Bedouin does not offer delivery service. Is this still acceptable?
USER Could you please give me the reference number?
SYSTEM Your booking was successful. Your reference number is BTY06386. May I help you with anything else today?
USER No thank you that is all I needed. Goodbye.
USER OVERALL",3.25,Medium,Positive,271
12,"USER Hello, I'm trying to find an international restaurant in the east. Any ideas?
SYSTEM Yes, the missing sock is an international restaurant in the east in the cheap price range. Would you like a reservation?
USER No, please give me their post code instead.
SYSTEM The post code is cb259aq.
USER I also need a hotel on the Southside.
SYSTEM I have 1 hotel called the lensfield hotel located on 53-57 lensfield road.
USER When is the checkin time?
SYSTEM The check in time is 14:00. Would you like for me to book it for you?
USER Can you tell me if it offers free parking? Also, how many stars is the Lensfield?
SYSTEM The Lenfield is a 3 star hotel. They do offer free parking.
USER Can you look for a 2 star hotel in that area if not available then could you try one that is in the east?
SYSTEM There is one located in the east, express by holiday inn cambridge. It has free internet and parking, would you like to book?
USER Is there a hotel lift?
SYSTEM There is a lift located on the Express by Holiday Inn Cambridge property. Would you like for me to book it for you?
USER Yes I'd like to book 5 nights for 1 beginning on Tuesday. Could I get the reference number for that as well?
SYSTEM How many guests will be staying?
USER Just one, thanks.
SYSTEM You are all set, the reference number is 9WZD62FF, anything else that I can assist with?
USER What are the nearest diners by the hotel?
SYSTEM There is a Missing Sock off of Finders Corner Newmarket Road. it looks to be cheap, and is in the east side of the city.
USER Actually, I'd like to book a taxi from the hotel to The Missing Sock. I'd like to depart by 09:15.
SYSTEM Sure, I found you a blue Tesla, their contact number is 07980198100. Can I assist you with anything else?
USER Can I change my booking if my plan changes?
SYSTEM You can cancel 24 hours in advance. After that only minor changes can be made. Would you like any more information?
USER No, thank you. Goodbye.
USER OVERALL",2.75,Low,Positive,372
13,"USER I am hearing some good things about queens college, can you give me some basic info on them?
SYSTEM Queen's College is found on Silver Street, and their phone number is 01223335511. Is there anything else you'd like to know?
USER Yes, I'd like to know the entrance fee, please?
SYSTEM The entrance free is 2.50 pounds. Can I provide you with any other information?
USER No thanks. I also need a train leaving Cambridge on Tuesday.
SYSTEM Sure, I can help you with that. Where will you be travelling to?
USER I'd like to go to Leicester please.
SYSTEM Sure, I have a number of options for you. What time would you like to leave?
USER I would like to leave after 09:45. Can you book the first one available after that and give me the reference number?
SYSTEM Definitely. How many people will be traveling?
USER Does my child get a discount on this train?
SYSTEM If they're under 5, their ticket is free, and if they're 5-16 years old, their ticket is half off. How many people are traveling with you?
USER Just myself will be travelling.
SYSTEM Ok. I was able to book one ticket. Your reference number is M0PIMESH.
USER Thanks, can I park my car at the station?
SYSTEM Yes, you may park there however there may be a fee. Please check with the station. Is there any more questions you have?
USER Can I reserve a specific seat on the train?
SYSTEM I'm sorry, we not provide reservations for the train. What else can I help with?
USER Thank you that is all I need today.
SYSTEM thanks for inquiring with us and have a great day
USER Thank you very much.
USER OVERALL",3.5,Medium,Positive,292
14,"USER I would like to go to a nightclub in the centre.
SYSTEM You have five options for nightclubs in the center. Soul Tree Nightclub has the lowest entry fee, at 4 pounds.
USER What is the postcode for Soul Tree Nightclub?
SYSTEM The post code is cb23qf. Is there anything else I can help you with?
USER Yes. Are there any North Indian restaurants close to the nightclub?
SYSTEM What's your price range?
USER I would like something cheap.
SYSTEM There are no North Indian restaurants but there are some Indian restaurants in the centre of town. Would you like information about one of those?
USER Actually, can you check for a Chinese restaurant in the north then?
SYSTEM I'm sorry I may have misunderstood. Were you looking for cheap Indian food on the north side of town?
USER I was, but since there's no cheap Indian food in the north I want to see if there's any cheap Chinese in the north.
SYSTEM There's no cheap Chinese food in the north. Would you like me try something else?
USER are there any chinese restaurants that are cheap in the north?
SYSTEM Unfortunately, there are none. Could you like to try an alternative type of food?
USER No, i didn't have any other choices.
SYSTEM perhaps we try a different location?
USER Do you have any cheap chinese restaurants in the centre?
SYSTEM Yes, we have 3. I recommend Golden House.
USER I have a disability. Will the restaurant offer facilities to help me access the restaurant?
SYSTEM I'm sorry but there is no service for disabilities. Can I help you with anything else?
USER Do they have high chairs for my baby?
SYSTEM The restaurant does not offer baby seats. Would you like to know their contact information?
USER Does the restaurant offer any outdoor seating for patrons?
SYSTEM The Golden House does not have any outdoor seating right now. Is this still ok?
USER Great, can I just get the postcode?
SYSTEM Yes, the postcode is cb21eg. Can i assist you further, today?
USER No, that's all I need today. Thank you.
USER OVERALL",3.0,Low,Positive,357
15,"USER I want a place to stay in the moderate price range.
SYSTEM Okay, were you looking for a hotel or a guesthouse?
USER I am interested in a guesthouse on the east side please.
SYSTEM There are 3 guesthouses on the east side. Would like one with free parking?
USER Yes, free parking would be helpful. Please book me a room for four guests, for four nights. I will be arriving on Friday. May I have the reference number?
SYSTEM i have booked warkworth house and the Reference number is : 93SG6IOJ
USER I need to find somewhere to eat.
SYSTEM There are 110 restaurants in the city, do you know the area you would like to eat in?
USER The same area as the hotel, please
SYSTEM Is there a price range you'd prefer?
USER Does this place offer concierge service?
SYSTEM I'm afraid there is no concierge service at this hotel. Would you like to look for a restaurant?
USER I want fancy, but not quite ""Frasier and Niles Crane fancy"", how about moderately priced?
SYSTEM There are a few moderately priced restaurants on the east side of town. Would you prefer Indian or Italian?
USER I do not have a preference.
SYSTEM How about curry prince?
USER That sounds interesting. Can I book it for Friday?
SYSTEM I'd be happy to help with that. What day and time would you like the table?
USER Friday at 18:30 please
SYSTEM Sure, how many people would you like it booked for?
USER I need to book it for 4 people.
SYSTEM Your all set, your reference number is 5D033K1E, is there anything else I can help you with?
USER I'll need a taxi to the restaurant for that reservation.
SYSTEM Great. Your driver will be there in a red Volkswagen to bring you to Curry Prince by 18:30. Their number is 07105624128.
USER What if I need to cancel my taxi? Will I have to pay a fee?
SYSTEM You can cancel 24 hours in advance. After that there is a 10 GBP fee. Does this answer your question?
USER Does Warkworth House have any kind of outdoor seating?
SYSTEM No, there is no outdoor seating here. Is there anything else I can do for you?
USER Thank you so much for your help. I greatly appreciate it.
USER OVERALL",3.33,Medium,Positive,392
16,"USER I would like to book a train.
SYSTEM What day do you need the train? What is your destination?
USER Do any of the trains offer discounts for children?
SYSTEM If the person is under 5, they are free. For 5 to 16 they get a 50% discount. Could I answer any more questions for you?
USER I am sorry I mean I want a nightclub to go in the wast side of town.
SYSTEM Unfortunately, there aren't any in that area. How about another location?
USER how about one that is in the type of museum.and make Make sure you get address
SYSTEM Kettle's yard is museum in the west part of town. It is located on castle street.
USER I also need a moderate priced room.
SYSTEM great! what area of town are you thinking of?
USER I'd like it to be a guest house in the north.
SYSTEM okay, I can help you with that. When are you planning your stay?
USER I'm not sure yet. I'm really researching right now. Can you please recommend a guesthouse in the north in the moderate price range?
SYSTEM I've got 9 guesthouses in that price range. Do you need internet and/or parking?
USER No but I do need to know if they have internet, free parking, and the address of the guesthouse of your choice, thanks!
SYSTEM I have found 7 hotels now that match your criteria for parking and internet. Would you like me to choose on for you?
USER Yes, please tell me your favorite guesthouse in the north and let me know their address and whether they offer free Internet and parking.
SYSTEM I recommend Acorn Guesthouse. They are in the moderate price range and have 4 stars. They offer both free internet and parking. May I reserve you any rooms?
USER First, does this have a spa?
SYSTEM They do not have any spa on site. Any other question?
USER Does that place have any restrictions on children?
SYSTEM Children of all ages are welcome here. Can I assist you with booking a room here?
USER Yes, please, I would appreciate that.
SYSTEM Ok great, and how many people and nights?
USER I actually don't need a room. I just need the address please.
SYSTEM 154 chesterton road
USER Thank you, that is everything, sorry for being so annoying in the process.
USER OVERALL",2.5,Low,Positive,400
17,"USER I'm looking for Crossover food in the centre.
SYSTEM I'm sorry but there are no restaurants in that area that serve Crossover food. Can I help you find one in a different area?
USER A moderate priced crossover located in the centre, nothing?
SYSTEM No, I am so sorry but there are no restaurants that match that description.
USER How about modern european food?
SYSTEM De luca cucina and bar is available would you like to try that?
USER Sounds good, can you make sure they have a chair for the baby please?
SYSTEM Yes, De Luca Cucina and Bar does have a highchair for your baby. Would you like me to go ahead and make reservations?
USER Sounds wonderful! May I have their postcode, address and phone number please?
SYSTEM Yes, their postcode is cb21aw, address is 83 Regent Street, and phone number is 01223356666. Can I help you with anything else?
USER Yes, actually, I need to find a train schedule. I'll be traveling from Cambridge to London Liverpool Street.
SYSTEM There are many trains making that trip, do you have a day and time you would like to travel?
USER Yes, I'm traveling on Saturday, and I will need to arrive by 14:30.
SYSTEM I do have train TR3312 that departs at 11:59 and arrives by 13:27. Would that be something that would work for you?
USER Does the station have bike parking?
SYSTEM Yes, you'll be able to park your bike at this station. Does the train departing at 11:59 work for your schedule?
USER Can I bring it onboard?
SYSTEM If it is a folding bike, then you can bring it on the train. Would you like any other info?
USER Yes, that would work quote well. I won't be needing a ticket just yet, though. Thank you!
SYSTEM Is there anything else I can help you with today?
USER No, that's all I need. Thank you for all your help - goodbye!
USER OVERALL",3.5,Medium,Positive,331
18,"USER I am looking for a place to stay with 4 stars.
SYSTEM Certainly, is there an area of town you prefer?
USER No, but it should have free wifi, 4 stars, and free parking.
SYSTEM There are quite a few options that match your needs -would you prefer cheap or moderately priced?
USER No. You can pick the hotel. I will need it for 3 people lasting 2 nights, from Friday.
SYSTEM I have booked you a room at the Acorn Guest House. They are at 154 Chesterson Road, CB41DA. Their phone number is 01223353888. Can I help you with anything else?
USER I have a disability. Will I be able to access my room with no issue?
SYSTEM You may have an issue, the Acorn Guest House does not have disability access. Is there anything else I can help you with today?
USER Yes, I need the reference number.
SYSTEM Booking was successful. Reference number is : UUJ3X14V.
USER Thanks! I am also looking for suggestions for night clubs.
SYSTEM I have 6 night clubs in the city, 5 are in the centre and 1 is in the South? Would you like info on any of them?
USER Is the hotel child friendly? I'm traveling with my son.
SYSTEM Yes, children of all ages are welcome at the guest house. Would you like me to book you a room?
USER What parking options does the hotel offer?
SYSTEM I'm afraid there is no parking at this location. Do you have any additional questions about this hotel?
USER What is the entrance fee and the phone number for the one in the south?
SYSTEM The Place is a nightclub in the south part of town. I'm sorry, i do not have the entrance fee. Their phone number is 01223324600. Is there anything else?
USER No, that's all I needed! Thanks you've been so helpful! Bye!
USER OVERALL",3.0,Low,Positive,318
19,"USER I'm looking for Korean food in the east area.
SYSTEM There are not any Korean restaurants in the East. Would you like me to look in a different area of the city?
USER How about Indian food?
SYSTEM Yes there are four different restaurants. What is your price range? There's moderate to expensive available.
USER It does not matter, the price is whatever. Just book me one for Saturday.
SYSTEM What time do you want me to book for?
USER I need a table for 5 people at 14:30. Could you give me a reference number?
SYSTEM Curry Prince is highly recommended. I booked a table for 5 at 14:30 on saturday, your reference number is FZLK0ZCF. Can I help with anything else?
USER Does Curry Prince accept to-go orders?
SYSTEM Sorry, they don't have the capacity for take-out at this time. Do you have any other questions for us?
USER Does the restaurant have vegetarian options?
SYSTEM There is no vegetarian menu at Curry Prince. Would you like any more assistance?
USER Does this restaurant have gluten free options?
SYSTEM There are no gluten free options and Curry Prince. Do you have any other things I can help you with today?
USER yeah i need info on stuff to do in town.
SYSTEM Is there a specific type of attraction you're looking for?
USER Yes, I need the address for a swimming pool please.
SYSTEM My favorite pool is Parkside, in the center of town.
USER That would be fine can I get the address please?
SYSTEM Yes, the address is Gonville Place. Is there anything else I can help with?
USER No that's all I need for today. Bye.
USER OVERALL",3.67,High,Positive,284
20,"USER I am planning my trip to Cambridge and need a train leaving Peterborough after 21:45.
SYSTEM The first train leaves at 21:48.
USER That won't work for me. When does the next one leave on Tuesday?
SYSTEM I have one leaving at 22:19. Would you like to book it?
USER Yes that time works. Please book it. What is the train ID?
SYSTEM The train ID is TR8054. May i have your details (Name, Phone number, ID, email) so i can go ahead and make the booking for you.
USER Are there parking facilities at the station?
SYSTEM You can park at the station, there may be a fee but it depends on the station. May I have your credit card information to book it?
USER Can I purchase WiFi beyond the data limit that is available?
SYSTEM It is not possible to buy extra wi-fi data, sorry. Should we proceed with the booking?
USER I don't feel comfortable giving that to you. I'll book on my own. Can you just give me info on a place to stay?
SYSTEM Certainly. What area of town would you like to stay in?
USER I need a room. Do not need wifi or parking.
SYSTEM Okay, I have the alpha-milton guest house in the north area. Will that work for you?
USER Does the hotel offer concierge service?
SYSTEM Concierge service is not available at the hotel. Would you like to book a reservation?
USER Yes and Can you book it for me and get a reference number ?
USER OVERALL",2.75,Low,Positive,260
