index,Speaker,Text,Domain-Intent,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5,Domain,Intent,avg_rating,ConvID,turn_id
30,USER,I would also like to book a taxi from the Archway House to one of the nightclubs you mentioned. I would like to leave the hotel by 09:45.,Taxi-Inform,3.0,3.0,3.0,,,Taxi,Inform,3.0,1,16
31,SYSTEM,Certainly. What is your destination?,Taxi-Request,,,,,,Taxi,Request,,1,17
32,USER,Could you recommend a nightclub from the previous search?,,3.0,3.0,3.0,,,,,3.0,1,18
33,SYSTEM,"Yeah, the ballare is great. It's in the centre of town.",Attraction-Recommend,,,,,,Attraction,Recommend,,1,19
34,USER,"No, I did mean 09:45, thank you.",general-thank,2.0,2.0,3.0,,,general,thank,2.33,1,20
35,SYSTEM,"Okay great, the car will be a black honda and the contact number is 07537395912. Is that all you need today?",Taxi-Inform,,,,,,Taxi,Inform,,1,21
36,USER,Will it be possible to cancel my taxi booking later if my plans change?,,3.0,3.0,3.0,,,,,3.0,1,22
37,SYSTEM,"Sure, you can cancel your taxi reservation without a fee up to 24 hours before your trip. Would you like help finding any other destinations to visit in the evening?",,,,,,,,,,1,23
38,USER,My plan is not confirmed yet. So I may need to change your taxi booking later. Is that possible for my booking?,,3.0,3.0,3.0,,,,,3.0,1,24
39,SYSTEM,You can cancel 24 hours in advance. After that only minor changes can be made. Would you like any more assistance?,,,,,,,,,,1,25
40,USER,Will I be required to pay at the toll gate?,,3.0,3.0,3.0,,,,,3.0,1,26
41,SYSTEM,No. Toll charges are included in the price. Anything else?,,,,,,,,,,1,27
42,USER,"No, I wanted to check things out during the day time. But thanks for making sure.",general-thank,3.0,2.0,3.0,,,general,thank,2.67,1,28
43,USER,OVERALL,,2.0,3.0,3.0,,,,,2.67,1,29
44,USER,I am looking for a cheap two star hotel in the North can you help?,Hotel-Inform,2.0,3.0,3.0,,,Hotel,Inform,2.67,2,0
45,SYSTEM,"Unfortunately, there is nothing available in that area.",Hotel-NoOffer,,,,,,Hotel,NoOffer,,2,1
46,USER,Then can you find a hotel in the west with a moderate price range that includes free wifi?,Hotel-Inform,2.0,3.0,3.0,,,Hotel,Inform,2.67,2,2
47,SYSTEM,There is nothing like that available either. Would you like to try searching for something else?,Hotel-NoOffer,,,,,,Hotel,NoOffer,,2,3
48,USER,how about one that has free parking?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,2,4
49,SYSTEM,There are two hotels in the west that have free parking. One is in the expensive price range and one is in the cheap range. Which would you prefer?,Hotel-Select,,,,,,Hotel,Select,,2,5
50,USER,I would prefer the cheap range. Can you book for me 8 people for four nights beginning on Friday? I will need the reference number.,Hotel-Request,4.0,3.0,3.0,,,Hotel,Request,3.33,2,6
51,SYSTEM,The booking was successful. Your reference number is : WPCH771U. You will be staying at The Cambridge Belfry in the west area.,Booking-Book,,,,,,Booking,Book,,2,7
52,USER,"Great, thank you. Can you also help me find something fun for me to do while I am in town?",general-thank,3.0,4.0,4.0,,,general,thank,3.67,2,8
53,SYSTEM,I would suggest visiting the old schools.,Attraction-Recommend,,,,,,Attraction,Recommend,,2,9
54,USER,Does the hotel allow children to stay?,,3.0,3.0,3.0,,,,,3.0,2,10
55,SYSTEM,"Yes, the hotel allows customers with children to book rooms there. Do you need any further help?",,,,,,,,,,2,11
56,USER,Does the hotel offer cooking facilities for guests?,,3.0,3.0,3.0,,,,,3.0,2,12
57,SYSTEM,The Cambridge Belfry has only a coffee and tea maker for guests at this time. Do you have any other hotel questions?,,,,,,,,,,2,13
58,USER,Does the hotel have parking facilities?,,3.0,3.0,3.0,,,,,3.0,2,14
59,SYSTEM,There is free parking available at this location. Would you like any more information?,,,,,,,,,,2,15
60,USER,Are there any parks around?,Attraction-Inform,3.0,3.0,3.0,,,Attraction,Inform,3.0,2,16
61,SYSTEM,"There are several parks in town. In the centre there's the Cambridge University Botanic Gardens, and a few others in the north, east, and south. Do you have a preference?",Attraction-Inform,,,,,,Attraction,Inform,,2,17
62,USER,I would it to be in the east and could I get a postcode. Thanks goodbye,Attraction-Inform,3.0,4.0,3.0,,,Attraction,Inform,3.33,2,18
63,USER,OVERALL,,3.0,3.0,3.0,,,,,3.0,2,19
64,USER,Can you recommend a good restaurant in the north part of town that serves Australasian food?,Restaurant-Inform,3.0,3.0,4.0,3.0,,Restaurant,Inform,3.25,3,0
65,SYSTEM,There are not restaurants matching your request. May I help you find a different restaurant?,general-reqmore,,,,,,general,reqmore,,3,1
66,USER,How about Indian food instead?,Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,3,2
67,SYSTEM,There are two Indian restaurants in the north part of town. What price range are you looking for?,Restaurant-Request,,,,,,Restaurant,Request,,3,3
68,USER,What are the price ranges of the two available restaurants?,Restaurant-Request,3.0,3.0,4.0,3.0,,Restaurant,Request,3.25,3,4
69,SYSTEM,One of them is cheap and the other is moderately price.,Restaurant-Inform,,,,,,Restaurant,Inform,,3,5
70,USER,Tell me the address of the moderately priced one.,Restaurant-Request,3.0,3.0,2.0,3.0,,Restaurant,Request,2.75,3,6
71,SYSTEM,The Nirala is located at 7 Milton Street Chesterton.,Restaurant-Inform,,,,,,Restaurant,Inform,,3,7
72,USER,Can you let me know if the Nirala offers any kind of delivery services?,,3.0,3.0,3.0,3.0,,,,3.0,3,8
73,SYSTEM,The Nirala unfortunately does not deliver. Do you have any other questions about this restaurant?,,,,,,,,,,3,9
74,USER,Would you be able to tell me if they have chairs for babies to sit in?,,3.0,4.0,3.0,3.0,,,,3.25,3,10
75,SYSTEM,The Nirala does provide highchairs for babies. Do you need anything else?,,,,,,,,,,3,11
76,USER,Is there free wifi for dine in customers?,,3.0,4.0,3.0,3.0,,,,3.25,3,12
77,SYSTEM,Wifi is not shown to be provided. Do you have additional questions about the restaurant?,,,,,,,,,,3,13
78,USER,What is the phone number?,Restaurant-Request,3.0,3.0,3.0,3.0,,Restaurant,Request,3.0,3,14
79,SYSTEM,The phone number for the Nirala is 01223 360966. Is there anything else I can help you with?,general-reqmore,,,,,,general,reqmore,,3,15
80,USER,"No thank you, goodbye",general-thank,3.0,3.0,3.0,2.0,,general,thank,2.75,3,16
81,USER,OVERALL,,4.0,4.0,4.0,2.0,,,,3.5,3,17
82,USER,I need a place to stay in Cambridge that includes free wifi. I don't need free parking.,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,4,0
83,SYSTEM,Would you like to try cityroomz? I can book it for you?,Booking-Inform,,,,,,Booking,Inform,,4,1
84,USER,Is it in the West? what is the price range?,,3.0,3.0,3.0,,,,,3.0,4,2
85,SYSTEM,"Cityroomz is moderately priced and in the centre. Are you open to places that offer free parking, or do you specifically want to avoid it?",Hotel-Request,,,,,,Hotel,Request,,4,3
86,USER,What is the check-in time at the hotel?,,3.0,3.0,3.0,,,,,3.0,4,4
87,SYSTEM,You may check in at 13:00 - 1900. What else can I do for you today?,,,,,,,,,,4,5
88,USER,"I'm open to it, and I suppose the centre will do. But I'd prefer the west side if there is one.",Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,4,6
89,SYSTEM,I'm so sorry. There are no hotels on the west side that match your requests.,Hotel-NoOffer,,,,,,Hotel,NoOffer,,4,7
90,USER,"That's okay, Cityroomz will work. Can you book it for 3 people for 2 nights starting on Tuesday?",Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,4,8
91,SYSTEM,Reference number is : Z9RFJQ4W. Anything else you need?,Booking-Book,,,,,,Booking,Book,,4,9
92,USER,Could I get an extra bed in my hotel room?,,3.0,3.0,3.0,,,,,3.0,4,10
93,SYSTEM,There are no extra beds available there are you looking for anything else? Should I make a reservation for you anyway?,,,,,,,,,,4,11
94,USER,Yes I am looking for a Train that departs from Cambridge and arrives at Birmingham New Street.,Train-Inform,3.0,3.0,3.0,,,Train,Inform,3.0,4,12
95,SYSTEM,Ok. When were you looking to leave?,Train-Request,,,,,,Train,Request,,4,13
96,USER,I will be leaving on Wednesday after 14:30.,Train-Inform,3.0,3.0,3.0,,,Train,Inform,3.0,4,14
97,SYSTEM,There are 9 trains listed. Would you like tickets for one of them?,Train-OfferBook,,,,,,Train,OfferBook,,4,15
98,USER,Yes. Please select the first train available after 14:30 and book 3 tickets. then provide me the reference number,Train-Inform,3.0,3.0,3.0,,,Train,Inform,3.0,4,16
99,SYSTEM,"Booking was successful, the total fee is 225.3 GBP payable at the station. Reference number is : XMBOA4E1. Can I help with anything else?",Train-OfferBooked,,,,,,Train,OfferBooked,,4,17
100,USER,What are the operating hours of the Cambridge train station?,,3.0,3.0,3.0,,,,,3.0,4,18
101,SYSTEM,During the week they are open 5AM - 11PM. On Sunday they are open 7AM - 10:55PM. Does that complete my work for you?,,,,,,,,,,4,19
102,USER,That is all for now. Thank you,general-thank,3.0,3.0,3.0,,,general,thank,3.0,4,20
103,USER,OVERALL,,3.0,4.0,3.0,,,,,3.33,4,21
104,USER,I'd like to find out if there's a particular attraction in Cambridge called kambar,Attraction-Inform,3.0,3.0,3.0,3.0,,Attraction,Inform,3.0,5,0
105,SYSTEM,"Yes, Kambar is a nightclub in the centre of town. Can I give you some information on it?",Attraction-Inform,,,,,,Attraction,Inform,,5,1
106,USER,"Yes please, can I get the postcode, phone number, and address?",Attraction-Request,3.0,3.0,2.0,2.0,,Attraction,Request,2.5,5,2
107,SYSTEM,"Sure the address is 1 wheeler street,postcode is cb23qb and the phone number is 01223842725.",Attraction-Inform,,,,,,Attraction,Inform,,5,3
108,USER,I am also looking for a really pricey Guesthouse.,Hotel-Inform,4.0,3.0,3.0,3.0,,Hotel,Inform,3.25,5,4
109,SYSTEM,"I'm sorry, I don't know of any expensive guest houses. Can I look for something else for you?",Hotel-NoOffer,,,,,,Hotel,NoOffer,,5,5
110,USER,Hmm. Do you have any guest houses in the east with free wifi?,Hotel-Inform,3.0,3.0,1.0,3.0,,Hotel,Inform,2.5,5,6
111,SYSTEM,"Yes, there are a few of them. What price ranger would you like?",Hotel-Request,,,,,,Hotel,Request,,5,7
112,USER,I'd like a cheap one if that's fine.,Hotel-Inform,3.0,3.0,3.0,2.0,,Hotel,Inform,2.75,5,8
113,SYSTEM,I recommend allenbell. It has 4 stars and is in your price range. May I book it for you?,Booking-Inform,,,,,,Booking,Inform,,5,9
114,USER,May I stay with my pet at the hotel?,,3.0,3.0,3.0,3.0,,,,3.0,5,10
115,SYSTEM,"ALLENBELL is not pet friendly, sadly Anything else I can help you with?",,,,,,,,,,5,11
116,USER,Is there an on-site restaurant?,,2.0,3.0,2.0,2.0,,,,2.25,5,12
117,SYSTEM,There is no bar or restaurant at this location. Would you like to book a reservation?,,,,,,,,,,5,13
118,USER,Does the Allenbell hotel have parking assistance for the disabled?,,3.0,3.0,1.0,3.0,,,,2.5,5,14
119,SYSTEM,"Yes, Allenbell provides accessible parking for disabled folks. Do you have any other questions?",,,,,,,,,,5,15
120,USER,"Yes, that would be great. I'll need it to start on Tuesday and go for 5 nights. It will be 2 people.",Hotel-Inform,4.0,4.0,4.0,3.0,,Hotel,Inform,3.75,5,16
121,SYSTEM,I have made your reservation for the Allenbell for 2 people for 5 nights starting on Tuesday. Your reference number is PYY0CNUX. Is there anything else I may assist you with?,Booking-Book,,,,,,Booking,Book,,5,17
122,USER,No thanks. That takes care of all I needed. Goodbye.,general-thank,3.0,3.0,2.0,2.0,,general,thank,2.5,5,18
123,USER,OVERALL,,3.0,3.0,3.0,3.0,,,,3.0,5,19
124,USER,I am looking for a particular attraction called The Place. I need more information about it.,Attraction-Inform,4.0,3.0,3.0,,,Attraction,Inform,3.33,6,0
125,SYSTEM,Sure. It is a nightclub in the south area. Do you need the address or phone number?,Attraction-Inform,,,,,,Attraction,Inform,,6,1
126,USER,Just the postcode and entrance fee I am afraid.,Attraction-Request,3.0,3.0,3.0,,,Attraction,Request,3.0,6,2
127,SYSTEM,22 sidney street is the address,Attraction-Inform,,,,,,Attraction,Inform,,6,3
128,USER,Could you please tell me the postcode?,Attraction-Request,4.0,3.0,3.0,,,Attraction,Request,3.33,6,4
129,SYSTEM,"Of course, sorry about that. The postcode is cb23hg. Can I be of any further assistance to you today?",Attraction-Inform,,,,,,Attraction,Inform,,6,5
130,USER,What is the entrance fee for it?,Attraction-Request,5.0,3.0,3.0,,,Attraction,Request,3.67,6,6
131,SYSTEM,"Unfortunately, I am not sure of the entrance fee to The Place. You can call them to find out: 01223324600.",Attraction-Inform,,,,,,Attraction,Inform,,6,7
132,USER,"Thank you. I will also need a train from Cambridge to London Kings Cross on Tuesday, would you be able to help me?",Train-Inform,4.0,4.0,4.0,,,Train,Inform,4.0,6,8
133,SYSTEM,I need some more information first. Is there a specific time you would like to leave or arrive by?,general-greet,,,,,,general,greet,,6,9
134,USER,I would like the train to arrive by 16:00.,Train-Inform,5.0,3.0,3.0,,,Train,Inform,3.67,6,10
135,SYSTEM,"There are five trains that will arrive by 16:00, the train that arrives closes to that time is TR315 which arrives at 13:51",Train-Inform,,,,,,Train,Inform,,6,11
136,USER,That one will work. Can you book it for 4 people?,Train-Inform,5.0,3.0,3.0,,,Train,Inform,3.67,6,12
137,SYSTEM,I booked your train for 4 people. The reference number is T6X9JMIA and the total fee is 94.4 GBP. Is there anything else I can help you with?,Train-OfferBooked,,,,,,Train,OfferBooked,,6,13
138,USER,Does this train help those with a disability?,,4.0,3.0,3.0,,,,,3.33,6,14
139,SYSTEM,"Yes, this train provides assistance for those with disability. Anything else I can do for you?",,,,,,,,,,6,15
140,USER,Got it. Is there a charge to use WiFi on the train?,,4.0,3.0,3.0,,,,,3.33,6,16
141,SYSTEM,"Yes, WiFi is available and it is free of charge. Could I help you with anything else?",,,,,,,,,,6,17
142,USER,can I stay connected to the internet on this train?,,5.0,3.0,3.0,,,,,3.67,6,18
143,SYSTEM,"Yes, you can use basic WiFi by connecting to GreatNorthern_WiFi. Is there anything else I can help you with?",,,,,,,,,,6,19
144,USER,That will be everything. Thank you for you help.,general-thank,4.0,4.0,3.0,,,general,thank,3.67,6,20
145,USER,OVERALL,,4.0,4.0,3.0,,,,,3.67,6,21
146,USER,Can you help me book some train tickets?,Train-Inform,3.0,4.0,3.0,3.0,,Train,Inform,3.25,7,0
147,SYSTEM,Sure! Where are you departing from and what is your destination?,Train-Request,,,,,,Train,Request,,7,1
148,USER,I am leaving from Cambridge.,Train-Inform,4.0,4.0,4.0,2.0,,Train,Inform,3.5,7,2
149,SYSTEM,I'll need to get some more information. Can you tell me your destination and when you will be travelling?,Train-Request,,,,,,Train,Request,,7,3
150,USER,I am going to bishops stortford at 12:45 on thursday.,Train-Inform,3.0,3.0,3.0,2.0,,Train,Inform,2.75,7,4
151,SYSTEM,You would like to leave bishops stortford at 12:45?,Train-Inform,,,,,,Train,Inform,,7,5
152,USER,"Yes, on Thursday. Can you book me a train for 3 people please?",Train-Inform,3.0,3.0,3.0,2.0,,Train,Inform,2.75,7,6
153,SYSTEM,Okay the TR 2929 leaves at 11:29 and arrives at 12:07. Would you like me to book this?,Train-OfferBook,,,,,,Train,OfferBook,,7,7
154,USER,Yes one ticket to hogwarts please?,,3.0,3.0,3.0,2.0,,,,2.75,7,8
155,SYSTEM,"Ah, sorry, unfortunately there are no trains leaving to Hogwarts after September 1st.",Train-NoOffer,,,,,,Train,NoOffer,,7,9
156,USER,"I am sorry, poor joke. I am leaving cambridge going to bishops storford, leaving after 12:45 on thursday, need 3 tickets and ref number",Train-Inform,2.0,2.0,3.0,2.0,,Train,Inform,2.25,7,10
157,SYSTEM,"Booking was successful, the total fee is 30.29 GBP payable at the station. Reference number is : 2WI5Y9KV. Anything else I can do?",Train-OfferBooked,,,,,,Train,OfferBooked,,7,11
158,USER,Will I be able to use a credit card to pay for my ticket?,,3.0,3.0,3.0,2.0,,,,2.75,7,12
159,SYSTEM,"Yes, you may use a credit card to pay for the ticket. Anything else I can do for you?",,,,,,,,,,7,13
160,USER,Yes I am looking for a place to stay that includes free wifi and is a guesthouse in the expensive price range with free parking as well.,Hotel-Inform,3.0,3.0,3.0,2.0,,Hotel,Inform,2.75,7,14
161,SYSTEM,There are no guesthouses that fit your needs. Would you like a hotel? There are several available.,Hotel-NoOffer,,,,,,Hotel,NoOffer,,7,15
162,USER,How about one that is cheap?,Hotel-Inform,3.0,3.0,3.0,2.0,,Hotel,Inform,2.75,7,16
163,SYSTEM,There are several cheap guesthouses in all areas of Cambridge. Do you have an area preference?,Hotel-Request,,,,,,Hotel,Request,,7,17
164,USER,I am not looking in any specific area. A cheap guesthouse with free wifi and parking would be great. Can you recommend one?,Hotel-Inform,4.0,4.0,3.0,3.0,,Hotel,Inform,3.5,7,18
165,SYSTEM,Absolutely! I recommend Autumn House. Would you like a reservation?,Booking-Inform,,,,,,Booking,Inform,,7,19
166,USER,Does it provide cooking facilities?,,3.0,3.0,3.0,2.0,,,,2.75,7,20
167,SYSTEM,"As a guest, you'll have access to a kitchen as well as lounge. Does this option meet your needs?",,,,,,,,,,7,21
168,USER,Do they have daily housekeeping for guests?,,4.0,4.0,4.0,2.0,,,,3.5,7,22
169,SYSTEM,"Yes, Autumn House provides housekeeping on a daily basis for guests. Do you have any other questions for me?",,,,,,,,,,7,23
170,USER,yes i would like a reservation. thank you.,general-thank,4.0,4.0,4.0,2.0,,general,thank,3.5,7,24
171,SYSTEM,"I can help with that! I just need to know your arrival date, the number of people that will be staying, and how many nights you'd like to stay.",Booking-Request,,,,,,Booking,Request,,7,25
172,USER,"Thanks, I need for 3 people for 2 nights. Arrival is on Tuesday.",Hotel-Inform,3.0,3.0,3.0,2.0,,Hotel,Inform,2.75,7,26
173,SYSTEM,Sure I have your reservation and the reference number is ZYSDXL09.,Booking-Book,,,,,,Booking,Book,,7,27
174,USER,Thank you for all your help. That is all for now.,general-thank,3.0,4.0,3.0,4.0,,general,thank,3.5,7,28
175,USER,OVERALL,,4.0,4.0,3.0,3.0,,,,3.5,7,29
176,USER,I need a three star hotel with internet. Can you help?,Hotel-Inform,3.0,3.0,3.0,,,Hotel,Inform,3.0,8,0
177,SYSTEM,"I'm sorry, I cannot help you with hotels. Are you sure that's what you're looking for?",Hotel-NoOffer,,,,,,Hotel,NoOffer,,8,1
178,USER,I'm sorry. I meant to ask for information on a restaurant. It's called the Stazione Restaurant and Coffee Bar.,Restaurant-Inform,2.0,3.0,3.0,,,Restaurant,Inform,2.67,8,2
179,SYSTEM,"The stazione restaurant is an expensive, italian restaurant located in the centre area. Would you like me to make you a booking today?",Restaurant-Inform,,,,,,Restaurant,Inform,,8,3
180,USER,"Yes, sounds wonderful. Can you book a table for 7 at 12:00 on Saturday?",Restaurant-Inform,4.0,4.0,3.0,,,Restaurant,Inform,3.67,8,4
181,SYSTEM,The booking was successful. Your table will be reserved for 15 minutes and your reference number is TA6XS4CY.,Booking-Book,,,,,,Booking,Book,,8,5
182,USER,Does it have vegetarian options?,,3.0,3.0,3.0,,,,,3.0,8,6
183,SYSTEM,"Yes, they have both vegan and vegetarian dishes. What else may I help you with?",,,,,,,,,,8,7
184,USER,Can i get free wifi here?,,3.0,3.0,3.0,,,,,3.0,8,8
185,SYSTEM,The Sazione Restaurant and Coffee Bar doesn't offer free wifi at this time. What are you interested in trying?,,,,,,,,,,8,9
186,USER,"Great. I also need to find an attraction in the center and would like to know what type, address and entrance fee you find.",Attraction-Request,2.0,3.0,3.0,,,Attraction,Request,2.67,8,10
187,SYSTEM,Okay what kind of attraction are you looking for?,Attraction-Request,,,,,,Attraction,Request,,8,11
188,USER,"Anything you'd recommend, as long as it's in the centre.",Attraction-Inform,3.0,3.0,3.0,,,Attraction,Inform,3.0,8,12
189,SYSTEM,"I recommend the vue cinema, it's got a lot of great features to watch!",Attraction-Recommend,,,,,,Attraction,Recommend,,8,13
190,USER,"Sounds good! Could I have the address and entrance fee, please?",Attraction-Request,4.0,4.0,3.0,,,Attraction,Request,3.67,8,14
191,SYSTEM,"Address is the grafton centre, east road, I do not know the entrance fee.",Attraction-Inform,,,,,,Attraction,Inform,,8,15
192,USER,Thanks! Do you have a phone number so I can find the entrance fee.,Attraction-Request,3.0,4.0,3.0,,,Attraction,Request,3.33,8,16
193,SYSTEM,The phone number is 08712240240.,Attraction-Inform,,,,,,Attraction,Inform,,8,17
194,USER,Can you tell me what credit cards Stazione accepts?,,3.0,3.0,3.0,,,,,3.0,8,18
195,SYSTEM,"They will accept American Express, Mastercard, and Visa credit cards. Do you have any other questions?",,,,,,,,,,8,19
196,USER,Thank you! And this is a cinema attraction?,Attraction-Inform,4.0,4.0,3.0,,,Attraction,Inform,3.67,8,20
197,SYSTEM,Yes it is. Is there anything else I can do for you?,general-reqmore,,,,,,general,reqmore,,8,21
198,USER,I don't need anything else.,,3.0,3.0,3.0,,,,,3.0,8,22
199,USER,OVERALL,,4.0,3.0,3.0,,,,,3.33,8,23
200,USER,"I need directions to a good swimming pool in the south of Cambridge, can you give them to me?",,3.0,3.0,3.0,3.0,,,,3.0,9,0
201,SYSTEM,"Abbey pool and astroturf pitch is located in east area. Pool way, white hill road off newmarket road. Would you like any other information?",Attraction-Inform,,,,,,Attraction,Inform,,9,1
202,USER,"I really need it to be in the south. If there is no swimming pool in the south, how about an entertainment venue?",Attraction-Inform,2.0,3.0,2.0,3.0,,Attraction,Inform,2.5,9,2
203,SYSTEM,"Unfortunately there are no swimming attractions in the south. Entertainment wise there are 2 options, Nusha and Tenpin. Would you like more info on one of them?",Attraction-Inform,,,,,,Attraction,Inform,,9,3
204,USER,Yes please send me the info.,,3.0,3.0,3.0,3.0,,,,3.0,9,4
205,SYSTEM,"No problem. For Nusha, the phone number is 01223902158 with a post code of cb17dy. For Tenpin, the phone number is 08715501010 with a post code of cb17dy.",Attraction-Inform,,,,,,Attraction,Inform,,9,5
206,USER,I also need some help finding a place to eat while there. Can you help me with that?,,3.0,3.0,3.0,3.0,,,,3.0,9,6
207,SYSTEM,Yes I can. What type of cuisine are you interested in?,Restaurant-Request,,,,,,Restaurant,Request,,9,7
208,USER,"I would like a spanish restaurant, preferrably cheap.",Restaurant-Inform,3.0,3.0,3.0,3.0,,Restaurant,Inform,3.0,9,8
209,SYSTEM,I'm sorry there's nothing that matches that in the south. Do you want me to search in a different area?,Restaurant-Request,,,,,,Restaurant,Request,,9,9
210,USER,Is there anything matching that anywhere in the city?,,2.0,3.0,3.0,3.0,,,,2.75,9,10
211,SYSTEM,"None,would you like to try a different area ?",Restaurant-Request,,,,,,Restaurant,Request,,9,11
212,USER,Try a different area other than the south. Please make sure it is cheap Spanish food.,Restaurant-Inform,2.0,3.0,3.0,3.0,,Restaurant,Inform,2.75,9,12
213,SYSTEM,There is one! La Raza is a cheap Spanish restaurant in city centre. It's a lovely place - would you like to make a reservation?,Restaurant-Inform,,,,,,Restaurant,Inform,,9,13
214,USER,Do they offer orders to go?,,3.0,3.0,3.0,3.0,,,,3.0,9,14
215,SYSTEM,"No, they do not offer takeout. Would you like to make a reservation?",,,,,,,,,,9,15
216,USER,"Yes, please book 4 people on tuesday at 14:30 and send me the reference number",Restaurant-Request,3.0,3.0,3.0,3.0,,Restaurant,Request,3.0,9,16
217,SYSTEM,"I am sorry, I am unable to book that for you right now. Is there anything else I can help you with?",general-reqmore,,,,,,general,reqmore,,9,17
218,USER,Can you try a booking for 13:30?,Restaurant-Inform,2.0,3.0,3.0,2.0,,Restaurant,Inform,2.5,9,18
219,SYSTEM,"I'm sorry, I am unable to book it for that time either. Is there another time, or day I could try for you?",Booking-Request,,,,,,Booking,Request,,9,19
220,USER,Is there another restaurant in that area?,Restaurant-Inform,2.0,3.0,3.0,3.0,,Restaurant,Inform,2.75,9,20
221,SYSTEM,There are no matches for spanish restaurants in that area another perhaps?,Restaurant-Request,,,,,,Restaurant,Request,,9,21
222,USER,Look in another area. I want a spanish restaurant,Restaurant-Inform,2.0,2.0,3.0,3.0,,Restaurant,Inform,2.5,9,22
223,SYSTEM,I found la raza. Shall book it for you ?,Restaurant-Inform,,,,,,Restaurant,Inform,,9,23
